Station,Lat,Lon
Hohhot,40.84,111.67
Hohhot-Datong In Transit,40.795,111.715
Hohhot-Datong In Transit,40.75,111.76
Hohhot-Datong In Transit,40.705,111.805
Hohhot-Datong In Transit,40.66,111.85
Hohhot-Datong In Transit,40.615,111.895
Hohhot-Datong In Transit,40.57,111.94
Hohhot-Datong In Transit,40.525,111.985
Hohhot-Datong In Transit,40.48,112.03
Hohhot-Datong In Transit,40.435,112.075
Hohhot-Datong In Transit,40.39,112.12
Hohhot-Datong In Transit,40.345,112.165
Hohhot-Datong In Transit,40.3,112.21
Hohhot-Datong In Transit,40.255,112.255
Hohhot-Datong In Transit,40.21,112.3
Hohhot-Datong In Transit,40.165,112.345
Hohhot-Datong In Transit,40.12,112.39
Hohhot-Datong In Transit,40.075,112.435
Hohhot-Datong In Transit,40.07,112.48
Hohhot-Datong In Transit,40.07,112.525
Hohhot-Datong In Transit,40.07,112.57
Hohhot-Datong In Transit,40.07,112.615
Hohhot-Datong In Transit,40.07,112.66
Hohhot-Datong In Transit,40.07,112.705
Hohhot-Datong In Transit,40.07,112.75
Hohhot-Datong In Transit,40.07,112.795
Hohhot-Datong In Transit,40.07,112.84
Hohhot-Datong In Transit,40.07,112.885
Hohhot-Datong In Transit,40.07,112.93
Hohhot-Datong In Transit,40.07,112.975
Hohhot-Datong In Transit,40.07,113.02
Hohhot-Datong In Transit,40.07,113.065
Hohhot-Datong In Transit,40.07,113.11
Hohhot-Datong In Transit,40.07,113.155
Hohhot-Datong In Transit,40.07,113.2
Hohhot-Datong In Transit,40.07,113.245
Hohhot-Datong In Transit,40.07,113.29
Datong,40.07,113.3
Datong-Taiyuan In Transit,40.025,113.255
Datong-Taiyuan In Transit,39.98,113.21
Datong-Taiyuan In Transit,39.935,113.165
Datong-Taiyuan In Transit,39.89,113.12
Datong-Taiyuan In Transit,39.845,113.075
Datong-Taiyuan In Transit,39.8,113.03
Datong-Taiyuan In Transit,39.755,112.985
Datong-Taiyuan In Transit,39.71,112.94
