Station,Lat,Lon
Beijing,39.9,116.4
Beijing-Xiong'an In Transit,39.855,116.355
Beijing-Xiong'an In Transit,39.81,116.31
Beijing-Xiong'an In Transit,39.765,116.265
Beijing-Xiong'an In Transit,39.72,116.22
Beijing-Xiong'an In Transit,39.675,116.175
Beijing-Xiong'an In Transit,39.63,116.13
Beijing-Xiong'an In Transit,39.585,116.085
Beijing-Xiong'an In Transit,39.54,116.04
Beijing-Xiong'an In Transit,39.495,115.995
Beijing-Xiong'an In Transit,39.45,115.95
Beijing-Xiong'an In Transit,39.405,115.93
Beijing-Xiong'an In Transit,39.36,115.93
Beijing-Xiong'an In Transit,39.315,115.93
Beijing-Xiong'an In Transit,39.27,115.93
Beijing-Xiong'an In Transit,39.225,115.93
Beijing-Xiong'an In Transit,39.18,115.93
Beijing-Xiong'an In Transit,39.135,115.93
Beijing-Xiong'an In Transit,39.09,115.93
Beijing-Xiong'an In Transit,39.045,115.93
Xiong'an,39.03,115.93
Xiong'an-Taiyuan In Transit,38.985,115.885
Xiong'an-Taiyuan In Transit,38.94,115.84
Xiong'an-Taiyuan In Transit,38.895,115.795
Xiong'an-Taiyuan In Transit,38.85,115.75
Xiong'an-Taiyuan In Transit,38.805,115.705
Xiong'an-Taiyuan In Transit,38.76,115.66
Xiong'an-Taiyuan In Transit,38.715,115.615
Xiong'an-Taiyuan In Transit,38.67,115.57
Xiong'an-Taiyuan In Transit,38.625,115.525
Xiong'an-Taiyuan In Transit,38.58,115.48
Xiong'an-Taiyuan In Transit,38.535,115.435
Xiong'an-Taiyuan In Transit,38.49,115.39
Xiong'an-Taiyuan In Transit,38.445,115.345
Xiong'an-Taiyuan In Transit,38.4,115.3
Xiong'an-Taiyuan In Transit,38.355,115.255
Xiong'an-Taiyuan In Transit,38.31,115.21
Xiong'an-Taiyuan In Transit,38.265,115.165
Xiong'an-Taiyuan In Transit,38.22,115.12
Xiong'an-Taiyuan In Transit,38.175,115.075
Xiong'an-Taiyuan In Transit,38.13,115.03
Xiong'an-Taiyuan In Transit,38.085,114.985
Xiong'an-Taiyuan In Transit,38.04,114.94
Xiong'an-Taiyuan In Transit,37.995,114.895
Xiong'an-Taiyuan In Transit,37.95,114.85
Xiong'an-Taiyuan In Transit,37.905,114.805
Xiong'an-Taiyuan In Transit,37.87,114.76
Xiong'an-Taiyuan In Transit,37.87,114.715
Xiong'an-Taiyuan In Transit,37.87,114.67
Xiong'an-Taiyuan In Transit,37.87,114.625
Xiong'an-Taiyuan In Transit,37.87,114.58
Xiong'an-Taiyuan In Transit,37.87,114.535
Xiong'an-Taiyuan In Transit,37.87,114.49
Xiong'an-Taiyuan In Transit,37.87,114.445
Xiong'an-Taiyuan In Transit,37.87,114.4
Xiong'an-Taiyuan In Transit,37.87,114.355
Xiong'an-Taiyuan In Transit,37.87,114.31
Xiong'an-Taiyuan In Transit,37.87,114.265
Xiong'an-Taiyuan In Transit,37.87,114.22
Xiong'an-Taiyuan In Transit,37.87,114.175
Xiong'an-Taiyuan In Transit,37.87,114.13
Xiong'an-Taiyuan In Transit,37.87,114.085
Xiong'an-Taiyuan In Transit,37.87,114.04
Xiong'an-Taiyuan In Transit,37.87,113.995
Xiong'an-Taiyuan In Transit,37.87,113.95
Xiong'an-Taiyuan In Transit,37.87,113.905
Xiong'an-Taiyuan In Transit,37.87,113.86
Xiong'an-Taiyuan In Transit,37.87,113.815
Xiong'an-Taiyuan In Transit,37.87,113.77
Xiong'an-Taiyuan In Transit,37.87,113.725
Xiong'an-Taiyuan In Transit,37.87,113.68
Xiong'an-Taiyuan In Transit,37.87,113.635
Xiong'an-Taiyuan In Transit,37.87,113.59
Xiong'an-Taiyuan In Transit,37.87,113.545
Xiong'an-Taiyuan In Transit,37.87,113.5
Xiong'an-Taiyuan In Transit,37.87,113.455
Xiong'an-Taiyuan In Transit,37.87,113.41
Xiong'an-Taiyuan In Transit,37.87,113.365
Xiong'an-Taiyuan In Transit,37.87,113.32
Xiong'an-Taiyuan In Transit,37.87,113.275
Xiong'an-Taiyuan In Transit,37.87,113.23
Xiong'an-Taiyuan In Transit,37.87,113.185
Xiong'an-Taiyuan In Transit,37.87,113.14
Xiong'an-Taiyuan In Transit,37.87,113.095
Xiong'an-Taiyuan In Transit,37.87,113.05
Xiong'an-Taiyuan In Transit,37.87,113.005
Xiong'an-Taiyuan In Transit,37.87,112.96
Xiong'an-Taiyuan In Transit,37.87,112.915
Xiong'an-Taiyuan In Transit,37.87,112.87
Xiong'an-Taiyuan In Transit,37.87,112.825
Xiong'an-Taiyuan In Transit,37.87,112.78
Xiong'an-Taiyuan In Transit,37.87,112.735
Xiong'an-Taiyuan In Transit,37.87,112.69
Xiong'an-Taiyuan In Transit,37.87,112.645
Xiong'an-Taiyuan In Transit,37.87,112.6
Xiong'an-Taiyuan In Transit,37.87,112.555
Taiyuan,37.87,112.53
Taiyuan-Xi'an In Transit,37.825,112.485
Taiyuan-Xi'an In Transit,37.78,112.44
Taiyuan-Xi'an In Transit,37.735,112.395
Taiyuan-Xi'an In Transit,37.69,112.35
Taiyuan-Xi'an In Transit,37.645,112.305
Taiyuan-Xi'an In Transit,37.6,112.26
Taiyuan-Xi'an In Transit,37.555,112.215
Taiyuan-Xi'an In Transit,37.51,112.17
Taiyuan-Xi'an In Transit,37.465,112.125
Taiyuan-Xi'an In Transit,37.42,112.08
Taiyuan-Xi'an In Transit,37.375,112.035
Taiyuan-Xi'an In Transit,37.33,111.99
Taiyuan-Xi'an In Transit,37.285,111.945
Taiyuan-Xi'an In Transit,37.24,111.9
Taiyuan-Xi'an In Transit,37.195,111.855
Taiyuan-Xi'an In Transit,37.15,111.81
Taiyuan-Xi'an In Transit,37.105,111.765
Taiyuan-Xi'an In Transit,37.06,111.72
Taiyuan-Xi'an In Transit,37.015,111.675
Taiyuan-Xi'an In Transit,36.97,111.63
Taiyuan-Xi'an In Transit,36.925,111.585
Taiyuan-Xi'an In Transit,36.88,111.54
Taiyuan-Xi'an In Transit,36.835,111.495
Taiyuan-Xi'an In Transit,36.79,111.45
Taiyuan-Xi'an In Transit,36.745,111.405
Taiyuan-Xi'an In Transit,36.7,111.36
Taiyuan-Xi'an In Transit,36.655,111.315
Taiyuan-Xi'an In Transit,36.61,111.27
Taiyuan-Xi'an In Transit,36.565,111.225
Taiyuan-Xi'an In Transit,36.52,111.18
Taiyuan-Xi'an In Transit,36.475,111.135
Taiyuan-Xi'an In Transit,36.43,111.09
Taiyuan-Xi'an In Transit,36.385,111.045
Taiyuan-Xi'an In Transit,36.34,111
Taiyuan-Xi'an In Transit,36.295,110.955
Taiyuan-Xi'an In Transit,36.25,110.91
Taiyuan-Xi'an In Transit,36.205,110.865
Taiyuan-Xi'an In Transit,36.16,110.82
Taiyuan-Xi'an In Transit,36.115,110.775
Taiyuan-Xi'an In Transit,36.07,110.73
Taiyuan-Xi'an In Transit,36.025,110.685
Taiyuan-Xi'an In Transit,35.98,110.64
Taiyuan-Xi'an In Transit,35.935,110.595
Taiyuan-Xi'an In Transit,35.89,110.55
Taiyuan-Xi'an In Transit,35.845,110.505
Taiyuan-Xi'an In Transit,35.8,110.46
Taiyuan-Xi'an In Transit,35.755,110.415
Taiyuan-Xi'an In Transit,35.71,110.37
Taiyuan-Xi'an In Transit,35.665,110.325
Taiyuan-Xi'an In Transit,35.62,110.28
Taiyuan-Xi'an In Transit,35.575,110.235
Taiyuan-Xi'an In Transit,35.53,110.19
Taiyuan-Xi'an In Transit,35.485,110.145
Taiyuan-Xi'an In Transit,35.44,110.1
Taiyuan-Xi'an In Transit,35.395,110.055
Taiyuan-Xi'an In Transit,35.35,110.01
Taiyuan-Xi'an In Transit,35.305,109.965
Taiyuan-Xi'an In Transit,35.26,109.92
Taiyuan-Xi'an In Transit,35.215,109.875
Taiyuan-Xi'an In Transit,35.17,109.83
Taiyuan-Xi'an In Transit,35.125,109.785
Taiyuan-Xi'an In Transit,35.08,109.74
Taiyuan-Xi'an In Transit,35.035,109.695
Taiyuan-Xi'an In Transit,34.99,109.65
Taiyuan-Xi'an In Transit,34.945,109.605
Taiyuan-Xi'an In Transit,34.9,109.56
Taiyuan-Xi'an In Transit,34.855,109.515
Taiyuan-Xi'an In Transit,34.81,109.47
Taiyuan-Xi'an In Transit,34.765,109.425
Taiyuan-Xi'an In Transit,34.72,109.38
Taiyuan-Xi'an In Transit,34.675,109.335
Taiyuan-Xi'an In Transit,34.63,109.29
Taiyuan-Xi'an In Transit,34.585,109.245
Taiyuan-Xi'an In Transit,34.54,109.2
Taiyuan-Xi'an In Transit,34.495,109.155
Taiyuan-Xi'an In Transit,34.45,109.11
Taiyuan-Xi'an In Transit,34.405,109.065
Taiyuan-Xi'an In Transit,34.36,109.02
Taiyuan-Xi'an In Transit,34.34,108.975
Xi'an,34.34,108.94
Xi'an-Chengdu In Transit,34.295,108.895
