Station,Lat,Lon
Baotou,40.6574,109.8403
Baotou-Yan'an In Transit,40.6124,109.7953
Baotou-Yan'an In Transit,40.5674,109.7503
Baotou-Yan'an In Transit,40.5224,109.7053
Baotou-Yan'an In Transit,40.4774,109.6603
Baotou-Yan'an In Transit,40.4324,109.6153
Baotou-Yan'an In Transit,40.3874,109.5703
Baotou-Yan'an In Transit,40.3424,109.5253
Baotou-Yan'an In Transit,40.2974,109.4897
Baotou-Yan'an In Transit,40.2524,109.4897
Baotou-Yan'an In Transit,40.2074,109.4897
Baotou-Yan'an In Transit,40.1624,109.4897
Baotou-Yan'an In Transit,40.1174,109.4897
Baotou-Yan'an In Transit,40.0724,109.4897
Baotou-Yan'an In Transit,40.0274,109.4897
Baotou-Yan'an In Transit,39.9824,109.4897
Baotou-Yan'an In Transit,39.9374,109.4897
Baotou-Yan'an In Transit,39.8924,109.4897
Baotou-Yan'an In Transit,39.8474,109.4897
Baotou-Yan'an In Transit,39.8024,109.4897
Baotou-Yan'an In Transit,39.7574,109.4897
Baotou-Yan'an In Transit,39.7124,109.4897
Baotou-Yan'an In Transit,39.6674,109.4897
Baotou-Yan'an In Transit,39.6224,109.4897
Baotou-Yan'an In Transit,39.5774,109.4897
Baotou-Yan'an In Transit,39.5324,109.4897
Baotou-Yan'an In Transit,39.4874,109.4897
Baotou-Yan'an In Transit,39.4424,109.4897
Baotou-Yan'an In Transit,39.3974,109.4897
Baotou-Yan'an In Transit,39.3524,109.4897
Baotou-Yan'an In Transit,39.3074,109.4897
Baotou-Yan'an In Transit,39.2624,109.4897
Baotou-Yan'an In Transit,39.2174,109.4897
Baotou-Yan'an In Transit,39.1724,109.4897
Baotou-Yan'an In Transit,39.1274,109.4897
Baotou-Yan'an In Transit,39.0824,109.4897
Baotou-Yan'an In Transit,39.0374,109.4897
Baotou-Yan'an In Transit,38.9924,109.4897
Baotou-Yan'an In Transit,38.9474,109.4897
Baotou-Yan'an In Transit,38.9024,109.4897
Baotou-Yan'an In Transit,38.8574,109.4897
Baotou-Yan'an In Transit,38.8124,109.4897
Baotou-Yan'an In Transit,38.7674,109.4897
Baotou-Yan'an In Transit,38.7224,109.4897
Baotou-Yan'an In Transit,38.6774,109.4897
Baotou-Yan'an In Transit,38.6324,109.4897
Baotou-Yan'an In Transit,38.5874,109.4897
Baotou-Yan'an In Transit,38.5424,109.4897
Baotou-Yan'an In Transit,38.4974,109.4897
Baotou-Yan'an In Transit,38.4524,109.4897
Baotou-Yan'an In Transit,38.4074,109.4897
Baotou-Yan'an In Transit,38.3624,109.4897
Baotou-Yan'an In Transit,38.3174,109.4897
Baotou-Yan'an In Transit,38.2724,109.4897
Baotou-Yan'an In Transit,38.2274,109.4897
Baotou-Yan'an In Transit,38.1824,109.4897
Baotou-Yan'an In Transit,38.1374,109.4897
Baotou-Yan'an In Transit,38.0924,109.4897
Baotou-Yan'an In Transit,38.0474,109.4897
Baotou-Yan'an In Transit,38.0024,109.4897
Baotou-Yan'an In Transit,37.9574,109.4897
Baotou-Yan'an In Transit,37.9124,109.4897
Baotou-Yan'an In Transit,37.8674,109.4897
Baotou-Yan'an In Transit,37.8224,109.4897
Baotou-Yan'an In Transit,37.7774,109.4897
Baotou-Yan'an In Transit,37.7324,109.4897
Baotou-Yan'an In Transit,37.6874,109.4897
Baotou-Yan'an In Transit,37.6424,109.4897
Baotou-Yan'an In Transit,37.5974,109.4897
Baotou-Yan'an In Transit,37.5524,109.4897
Baotou-Yan'an In Transit,37.5074,109.4897
Baotou-Yan'an In Transit,37.4624,109.4897
Baotou-Yan'an In Transit,37.4174,109.4897
Baotou-Yan'an In Transit,37.3724,109.4897
Baotou-Yan'an In Transit,37.3274,109.4897
Baotou-Yan'an In Transit,37.2824,109.4897
Baotou-Yan'an In Transit,37.2374,109.4897
Baotou-Yan'an In Transit,37.1924,109.4897
Baotou-Yan'an In Transit,37.1474,109.4897
Baotou-Yan'an In Transit,37.1024,109.4897
Baotou-Yan'an In Transit,37.0574,109.4897
Baotou-Yan'an In Transit,37.0124,109.4897
Baotou-Yan'an In Transit,36.9674,109.4897
Baotou-Yan'an In Transit,36.9224,109.4897
Baotou-Yan'an In Transit,36.8774,109.4897
Baotou-Yan'an In Transit,36.8324,109.4897
Baotou-Yan'an In Transit,36.7874,109.4897
Baotou-Yan'an In Transit,36.7424,109.4897
Baotou-Yan'an In Transit,36.6974,109.4897
Baotou-Yan'an In Transit,36.6524,109.4897
Baotou-Yan'an In Transit,36.6074,109.4897
Yan'an,36.5855,109.4897
Yan'an-Xi'an In Transit,36.5405,109.4447
Yan'an-Xi'an In Transit,36.4955,109.3997
Yan'an-Xi'an In Transit,36.4505,109.3547
Yan'an-Xi'an In Transit,36.4055,109.3097
Yan'an-Xi'an In Transit,36.3605,109.2647
Yan'an-Xi'an In Transit,36.3155,109.2197
Yan'an-Xi'an In Transit,36.2705,109.1747
Yan'an-Xi'an In Transit,36.2255,109.1297
Yan'an-Xi'an In Transit,36.1805,109.0847
Yan'an-Xi'an In Transit,36.1355,109.0397
Yan'an-Xi'an In Transit,36.0905,108.9947
Yan'an-Xi'an In Transit,36.0455,108.9497
Yan'an-Xi'an In Transit,36.0005,108.9398
Yan'an-Xi'an In Transit,35.9555,108.9398
Yan'an-Xi'an In Transit,35.9105,108.9398
Yan'an-Xi'an In Transit,35.8655,108.9398
Yan'an-Xi'an In Transit,35.8205,108.9398
Yan'an-Xi'an In Transit,35.7755,108.9398
Yan'an-Xi'an In Transit,35.7305,108.9398
Yan'an-Xi'an In Transit,35.6855,108.9398
Yan'an-Xi'an In Transit,35.6405,108.9398
Yan'an-Xi'an In Transit,35.5955,108.9398
Yan'an-Xi'an In Transit,35.5505,108.9398
Yan'an-Xi'an In Transit,35.5055,108.9398
Yan'an-Xi'an In Transit,35.4605,108.9398
Yan'an-Xi'an In Transit,35.4155,108.9398
Yan'an-Xi'an In Transit,35.3705,108.9398
Yan'an-Xi'an In Transit,35.3255,108.9398
Yan'an-Xi'an In Transit,35.2805,108.9398
Yan'an-Xi'an In Transit,35.2355,108.9398
Yan'an-Xi'an In Transit,35.1905,108.9398
Yan'an-Xi'an In Transit,35.1455,108.9398
Yan'an-Xi'an In Transit,35.1005,108.9398
Yan'an-Xi'an In Transit,35.0555,108.9398
Yan'an-Xi'an In Transit,35.0105,108.9398
Yan'an-Xi'an In Transit,34.9655,108.9398
Yan'an-Xi'an In Transit,34.9205,108.9398
Yan'an-Xi'an In Transit,34.8755,108.9398
Yan'an-Xi'an In Transit,34.8305,108.9398
Yan'an-Xi'an In Transit,34.7855,108.9398
Yan'an-Xi'an In Transit,34.7405,108.9398
Yan'an-Xi'an In Transit,34.6955,108.9398
Yan'an-Xi'an In Transit,34.6505,108.9398
Yan'an-Xi'an In Transit,34.6055,108.9398
Yan'an-Xi'an In Transit,34.5605,108.9398
Yan'an-Xi'an In Transit,34.5155,108.9398
Yan'an-Xi'an In Transit,34.4705,108.9398
Yan'an-Xi'an In Transit,34.4255,108.9398
Yan'an-Xi'an In Transit,34.3805,108.9398
Xi'an,34.3416,108.9398
Xi'an-Chongqing In Transit,34.2966,108.8948
Xi'an-Chongqing In Transit,34.2516,108.8498
Xi'an-Chongqing In Transit,34.2066,108.8048
Xi'an-Chongqing In Transit,34.1616,108.7598
Xi'an-Chongqing In Transit,34.1166,108.7148
Xi'an-Chongqing In Transit,34.0716,108.6698
Xi'an-Chongqing In Transit,34.0266,108.6248
Xi'an-Chongqing In Transit,33.9816,108.5798
Xi'an-Chongqing In Transit,33.9366,108.5348
Xi'an-Chongqing In Transit,33.8916,108.4898
Xi'an-Chongqing In Transit,33.8466,108.4448
Xi'an-Chongqing In Transit,33.8016,108.3998
Xi'an-Chongqing In Transit,33.7566,108.3548
Xi'an-Chongqing In Transit,33.7116,108.3098
Xi'an-Chongqing In Transit,33.6666,108.2648
Xi'an-Chongqing In Transit,33.6216,108.2198
Xi'an-Chongqing In Transit,33.5766,108.1748
Xi'an-Chongqing In Transit,33.5316,108.1298
Xi'an-Chongqing In Transit,33.4866,108.0848
Xi'an-Chongqing In Transit,33.4416,108.0398
Xi'an-Chongqing In Transit,33.3966,107.9948
Xi'an-Chongqing In Transit,33.3516,107.9498
Xi'an-Chongqing In Transit,33.3066,107.9048
Xi'an-Chongqing In Transit,33.2616,107.8598
Xi'an-Chongqing In Transit,33.2166,107.8148
Xi'an-Chongqing In Transit,33.1716,107.7698
Xi'an-Chongqing In Transit,33.1266,107.7248
Xi'an-Chongqing In Transit,33.0816,107.6798
Xi'an-Chongqing In Transit,33.0366,107.6348
Xi'an-Chongqing In Transit,32.9916,107.5898
Xi'an-Chongqing In Transit,32.9466,107.5448
Xi'an-Chongqing In Transit,32.9016,107.4998
Xi'an-Chongqing In Transit,32.8566,107.4548
Xi'an-Chongqing In Transit,32.8116,107.4098
Xi'an-Chongqing In Transit,32.7666,107.3648
Xi'an-Chongqing In Transit,32.7216,107.3198
Xi'an-Chongqing In Transit,32.6766,107.2748
Xi'an-Chongqing In Transit,32.6316,107.2298
Xi'an-Chongqing In Transit,32.5866,107.1848
Xi'an-Chongqing In Transit,32.5416,107.1398
Xi'an-Chongqing In Transit,32.4966,107.0948
Xi'an-Chongqing In Transit,32.4516,107.0498
Xi'an-Chongqing In Transit,32.4066,107.0048
Xi'an-Chongqing In Transit,32.3616,106.9598
Xi'an-Chongqing In Transit,32.3166,106.9148
Xi'an-Chongqing In Transit,32.2716,106.8698
Xi'an-Chongqing In Transit,32.2266,106.8248
Xi'an-Chongqing In Transit,32.1816,106.7798
Xi'an-Chongqing In Transit,32.1366,106.7348
Xi'an-Chongqing In Transit,32.0916,106.6898
Xi'an-Chongqing In Transit,32.0466,106.6448
Xi'an-Chongqing In Transit,32.0016,106.5998
Xi'an-Chongqing In Transit,31.9566,106.5548
Xi'an-Chongqing In Transit,31.9116,106.5516
Xi'an-Chongqing In Transit,31.8666,106.5516
Xi'an-Chongqing In Transit,31.8216,106.5516
Xi'an-Chongqing In Transit,31.7766,106.5516
Xi'an-Chongqing In Transit,31.7316,106.5516
Xi'an-Chongqing In Transit,31.6866,106.5516
Xi'an-Chongqing In Transit,31.6416,106.5516
Xi'an-Chongqing In Transit,31.5966,106.5516
Xi'an-Chongqing In Transit,31.5516,106.5516
Xi'an-Chongqing In Transit,31.5066,106.5516
Xi'an-Chongqing In Transit,31.4616,106.5516
Xi'an-Chongqing In Transit,31.4166,106.5516
Xi'an-Chongqing In Transit,31.3716,106.5516
Xi'an-Chongqing In Transit,31.3266,106.5516
Xi'an-Chongqing In Transit,31.2816,106.5516
Xi'an-Chongqing In Transit,31.2366,106.5516
Xi'an-Chongqing In Transit,31.1916,106.5516
Xi'an-Chongqing In Transit,31.1466,106.5516
Xi'an-Chongqing In Transit,31.1016,106.5516
Xi'an-Chongqing In Transit,31.0566,106.5516
