Station,Lat,Lon
Xining,36.6171,101.7782
Xining-Lanzhou In Transit,36.5721,101.8232
Xining-Lanzhou In Transit,36.5271,101.8682
Xining-Lanzhou In Transit,36.4821,101.9132
Xining-Lanzhou In Transit,36.4371,101.9582
Xining-Lanzhou In Transit,36.3921,102.0032
Xining-Lanzhou In Transit,36.3471,102.0482
Xining-Lanzhou In Transit,36.3021,102.0932
Xining-Lanzhou In Transit,36.2571,102.1382
Xining-Lanzhou In Transit,36.2121,102.1832
Xining-Lanzhou In Transit,36.1671,102.2282
Xining-Lanzhou In Transit,36.1221,102.2732
Xining-Lanzhou In Transit,36.0771,102.3182
Xining-Lanzhou In Transit,36.0611,102.3632
Xining-Lanzhou In Transit,36.0611,102.4082
Xining-Lanzhou In Transit,36.0611,102.4532
Xining-Lanzhou In Transit,36.0611,102.4982
Xining-Lanzhou In Transit,36.0611,102.5432
Xining-Lanzhou In Transit,36.0611,102.5882
Xining-Lanzhou In Transit,36.0611,102.6332
Xining-Lanzhou In Transit,36.0611,102.6782
Xining-Lanzhou In Transit,36.0611,102.7232
Xining-Lanzhou In Transit,36.0611,102.7682
Xining-Lanzhou In Transit,36.0611,102.8132
Xining-Lanzhou In Transit,36.0611,102.8582
Xining-Lanzhou In Transit,36.0611,102.9032
Xining-Lanzhou In Transit,36.0611,102.9482
Xining-Lanzhou In Transit,36.0611,102.9932
Xining-Lanzhou In Transit,36.0611,103.0382
Xining-Lanzhou In Transit,36.0611,103.0832
Xining-Lanzhou In Transit,36.0611,103.1282
Xining-Lanzhou In Transit,36.0611,103.1732
Xining-Lanzhou In Transit,36.0611,103.2182
Xining-Lanzhou In Transit,36.0611,103.2632
Xining-Lanzhou In Transit,36.0611,103.3082
Xining-Lanzhou In Transit,36.0611,103.3532
Xining-Lanzhou In Transit,36.0611,103.3982
Xining-Lanzhou In Transit,36.0611,103.4432
Xining-Lanzhou In Transit,36.0611,103.4882
Xining-Lanzhou In Transit,36.0611,103.5332
Xining-Lanzhou In Transit,36.0611,103.5782
Xining-Lanzhou In Transit,36.0611,103.6232
Xining-Lanzhou In Transit,36.0611,103.6682
Xining-Lanzhou In Transit,36.0611,103.7132
Xining-Lanzhou In Transit,36.0611,103.7582
Xining-Lanzhou In Transit,36.0611,103.8032
Lanzhou,36.0611,103.8343
Lanzhou-Chengdu In Transit,36.0161,103.8793
Lanzhou-Chengdu In Transit,35.9711,103.9243
Lanzhou-Chengdu In Transit,35.9261,103.9693
Lanzhou-Chengdu In Transit,35.8811,104.0143
Lanzhou-Chengdu In Transit,35.8361,104.0593
Lanzhou-Chengdu In Transit,35.7911,104.0668
Lanzhou-Chengdu In Transit,35.7461,104.0668
Lanzhou-Chengdu In Transit,35.7011,104.0668
Lanzhou-Chengdu In Transit,35.6561,104.0668
Lanzhou-Chengdu In Transit,35.6111,104.0668
Lanzhou-Chengdu In Transit,35.5661,104.0668
Lanzhou-Chengdu In Transit,35.5211,104.0668
Lanzhou-Chengdu In Transit,35.4761,104.0668
Lanzhou-Chengdu In Transit,35.4311,104.0668
Lanzhou-Chengdu In Transit,35.3861,104.0668
Lanzhou-Chengdu In Transit,35.3411,104.0668
Lanzhou-Chengdu In Transit,35.2961,104.0668
Lanzhou-Chengdu In Transit,35.2511,104.0668
Lanzhou-Chengdu In Transit,35.2061,104.0668
Lanzhou-Chengdu In Transit,35.1611,104.0668
Lanzhou-Chengdu In Transit,35.1161,104.0668
Lanzhou-Chengdu In Transit,35.0711,104.0668
Lanzhou-Chengdu In Transit,35.0261,104.0668
Lanzhou-Chengdu In Transit,34.9811,104.0668
Lanzhou-Chengdu In Transit,34.9361,104.0668
Lanzhou-Chengdu In Transit,34.8911,104.0668
Lanzhou-Chengdu In Transit,34.8461,104.0668
Lanzhou-Chengdu In Transit,34.8011,104.0668
Lanzhou-Chengdu In Transit,34.7561,104.0668
Lanzhou-Chengdu In Transit,34.7111,104.0668
Lanzhou-Chengdu In Transit,34.6661,104.0668
Lanzhou-Chengdu In Transit,34.6211,104.0668
Lanzhou-Chengdu In Transit,34.5761,104.0668
Lanzhou-Chengdu In Transit,34.5311,104.0668
Lanzhou-Chengdu In Transit,34.4861,104.0668
Lanzhou-Chengdu In Transit,34.4411,104.0668
Lanzhou-Chengdu In Transit,34.3961,104.0668
Lanzhou-Chengdu In Transit,34.3511,104.0668
Lanzhou-Chengdu In Transit,34.3061,104.0668
Lanzhou-Chengdu In Transit,34.2611,104.0668
