Station,Lat,Lon
Manzhouli,49.5938,117.4556
Manzhouli-Hailar In Transit,49.5488,117.5006
Manzhouli-Hailar In Transit,49.5038,117.5456
Manzhouli-Hailar In Transit,49.4588,117.5906
Manzhouli-Hailar In Transit,49.4138,117.6356
Manzhouli-Hailar In Transit,49.3688,117.6806
Manzhouli-Hailar In Transit,49.3238,117.7256
Manzhouli-Hailar In Transit,49.2788,117.7706
Manzhouli-Hailar In Transit,49.2338,117.8156
Manzhouli-Hailar In Transit,49.2135,117.8606
Manzhouli-Hailar In Transit,49.2135,117.9056
Manzhouli-Hailar In Transit,49.2135,117.9506
Manzhouli-Hailar In Transit,49.2135,117.9956
Manzhouli-Hailar In Transit,49.2135,118.0406
Manzhouli-Hailar In Transit,49.2135,118.0856
Manzhouli-Hailar In Transit,49.2135,118.1306
Manzhouli-Hailar In Transit,49.2135,118.1756
Manzhouli-Hailar In Transit,49.2135,118.2206
Manzhouli-Hailar In Transit,49.2135,118.2656
Manzhouli-Hailar In Transit,49.2135,118.3106
Manzhouli-Hailar In Transit,49.2135,118.3556
Manzhouli-Hailar In Transit,49.2135,118.4006
Manzhouli-Hailar In Transit,49.2135,118.4456
Manzhouli-Hailar In Transit,49.2135,118.4906
Manzhouli-Hailar In Transit,49.2135,118.5356
Manzhouli-Hailar In Transit,49.2135,118.5806
Manzhouli-Hailar In Transit,49.2135,118.6256
Manzhouli-Hailar In Transit,49.2135,118.6706
Manzhouli-Hailar In Transit,49.2135,118.7156
Manzhouli-Hailar In Transit,49.2135,118.7606
Manzhouli-Hailar In Transit,49.2135,118.8056
Manzhouli-Hailar In Transit,49.2135,118.8506
Manzhouli-Hailar In Transit,49.2135,118.8956
Manzhouli-Hailar In Transit,49.2135,118.9406
Manzhouli-Hailar In Transit,49.2135,118.9856
Manzhouli-Hailar In Transit,49.2135,119.0306
Manzhouli-Hailar In Transit,49.2135,119.0756
Manzhouli-Hailar In Transit,49.2135,119.1206
Manzhouli-Hailar In Transit,49.2135,119.1656
Manzhouli-Hailar In Transit,49.2135,119.2106
Manzhouli-Hailar In Transit,49.2135,119.2556
Manzhouli-Hailar In Transit,49.2135,119.3006
Manzhouli-Hailar In Transit,49.2135,119.3456
Manzhouli-Hailar In Transit,49.2135,119.3906
Manzhouli-Hailar In Transit,49.2135,119.4356
Manzhouli-Hailar In Transit,49.2135,119.4806
Manzhouli-Hailar In Transit,49.2135,119.5256
Manzhouli-Hailar In Transit,49.2135,119.5706
Manzhouli-Hailar In Transit,49.2135,119.6156
Manzhouli-Hailar In Transit,49.2135,119.6606
