Station,Lat,Lon
Beijing,39.9042,116.4074
Beijing-Hohhot In Transit,39.9492,116.3624
Beijing-Hohhot In Transit,39.9942,116.3174
Beijing-Hohhot In Transit,40.0392,116.2724
Beijing-Hohhot In Transit,40.0842,116.2274
Beijing-Hohhot In Transit,40.1292,116.1824
Beijing-Hohhot In Transit,40.1742,116.1374
Beijing-Hohhot In Transit,40.2192,116.0924
Beijing-Hohhot In Transit,40.2642,116.0474
Beijing-Hohhot In Transit,40.3092,116.0024
Beijing-Hohhot In Transit,40.3542,115.9574
Beijing-Hohhot In Transit,40.3992,115.9124
Beijing-Hohhot In Transit,40.4442,115.8674
Beijing-Hohhot In Transit,40.4892,115.8224
Beijing-Hohhot In Transit,40.5342,115.7774
Beijing-Hohhot In Transit,40.5792,115.7324
Beijing-Hohhot In Transit,40.6242,115.6874
Beijing-Hohhot In Transit,40.6692,115.6424
Beijing-Hohhot In Transit,40.7142,115.5974
Beijing-Hohhot In Transit,40.7592,115.5524
Beijing-Hohhot In Transit,40.8042,115.5074
Beijing-Hohhot In Transit,40.8427,115.4624
Beijing-Hohhot In Transit,40.8427,115.4174
Beijing-Hohhot In Transit,40.8427,115.3724
Beijing-Hohhot In Transit,40.8427,115.3274
Beijing-Hohhot In Transit,40.8427,115.2824
Beijing-Hohhot In Transit,40.8427,115.2374
Beijing-Hohhot In Transit,40.8427,115.1924
Beijing-Hohhot In Transit,40.8427,115.1474
Beijing-Hohhot In Transit,40.8427,115.1024
Beijing-Hohhot In Transit,40.8427,115.0574
Beijing-Hohhot In Transit,40.8427,115.0124
Beijing-Hohhot In Transit,40.8427,114.9674
Beijing-Hohhot In Transit,40.8427,114.9224
Beijing-Hohhot In Transit,40.8427,114.8774
Beijing-Hohhot In Transit,40.8427,114.8324
Beijing-Hohhot In Transit,40.8427,114.7874
Beijing-Hohhot In Transit,40.8427,114.7424
Beijing-Hohhot In Transit,40.8427,114.6974
Beijing-Hohhot In Transit,40.8427,114.6524
Beijing-Hohhot In Transit,40.8427,114.6074
Beijing-Hohhot In Transit,40.8427,114.5624
Beijing-Hohhot In Transit,40.8427,114.5174
Beijing-Hohhot In Transit,40.8427,114.4724
Beijing-Hohhot In Transit,40.8427,114.4274
