Station,Lat,Lon
Qingdao,36.0671,120.3826
Qingdao-Jinan In Transit,36.1121,120.3376
Qingdao-Jinan In Transit,36.1571,120.2926
Qingdao-Jinan In Transit,36.2021,120.2476
Qingdao-Jinan In Transit,36.2471,120.2026
Qingdao-Jinan In Transit,36.2921,120.1576
Qingdao-Jinan In Transit,36.3371,120.1126
Qingdao-Jinan In Transit,36.3821,120.0676
Qingdao-Jinan In Transit,36.4271,120.0226
Qingdao-Jinan In Transit,36.4721,119.9776
Qingdao-Jinan In Transit,36.5171,119.9326
Qingdao-Jinan In Transit,36.5621,119.8876
Qingdao-Jinan In Transit,36.6071,119.8426
Qingdao-Jinan In Transit,36.6512,119.7976
Qingdao-Jinan In Transit,36.6512,119.7526
Qingdao-Jinan In Transit,36.6512,119.7076
Qingdao-Jinan In Transit,36.6512,119.6626
Qingdao-Jinan In Transit,36.6512,119.6176
Qingdao-Jinan In Transit,36.6512,119.5726
Qingdao-Jinan In Transit,36.6512,119.5276
Qingdao-Jinan In Transit,36.6512,119.4826
Qingdao-Jinan In Transit,36.6512,119.4376
Qingdao-Jinan In Transit,36.6512,119.3926
Qingdao-Jinan In Transit,36.6512,119.3476
Qingdao-Jinan In Transit,36.6512,119.3026
Qingdao-Jinan In Transit,36.6512,119.2576
Qingdao-Jinan In Transit,36.6512,119.2126
Qingdao-Jinan In Transit,36.6512,119.1676
Qingdao-Jinan In Transit,36.6512,119.1226
Qingdao-Jinan In Transit,36.6512,119.0776
Qingdao-Jinan In Transit,36.6512,119.0326
Qingdao-Jinan In Transit,36.6512,118.9876
Qingdao-Jinan In Transit,36.6512,118.9426
Qingdao-Jinan In Transit,36.6512,118.8976
Qingdao-Jinan In Transit,36.6512,118.8526
Qingdao-Jinan In Transit,36.6512,118.8076
Qingdao-Jinan In Transit,36.6512,118.7626
Qingdao-Jinan In Transit,36.6512,118.7176
Qingdao-Jinan In Transit,36.6512,118.6726
Qingdao-Jinan In Transit,36.6512,118.6276
Qingdao-Jinan In Transit,36.6512,118.5826
Qingdao-Jinan In Transit,36.6512,118.5376
Qingdao-Jinan In Transit,36.6512,118.4926
Qingdao-Jinan In Transit,36.6512,118.4476
Qingdao-Jinan In Transit,36.6512,118.4026
Qingdao-Jinan In Transit,36.6512,118.3576
Qingdao-Jinan In Transit,36.6512,118.3126
Qingdao-Jinan In Transit,36.6512,118.2676
Qingdao-Jinan In Transit,36.6512,118.2226
Qingdao-Jinan In Transit,36.6512,118.1776
Qingdao-Jinan In Transit,36.6512,118.1326
Qingdao-Jinan In Transit,36.6512,118.0876
Qingdao-Jinan In Transit,36.6512,118.0426
Qingdao-Jinan In Transit,36.6512,117.9976
Qingdao-Jinan In Transit,36.6512,117.9526
Qingdao-Jinan In Transit,36.6512,117.9076
Qingdao-Jinan In Transit,36.6512,117.8626
Qingdao-Jinan In Transit,36.6512,117.8176
Qingdao-Jinan In Transit,36.6512,117.7726
Qingdao-Jinan In Transit,36.6512,117.7276
Qingdao-Jinan In Transit,36.6512,117.6826
Qingdao-Jinan In Transit,36.6512,117.6376
Qingdao-Jinan In Transit,36.6512,117.5926
Qingdao-Jinan In Transit,36.6512,117.5476
Qingdao-Jinan In Transit,36.6512,117.5026
Qingdao-Jinan In Transit,36.6512,117.4576
Qingdao-Jinan In Transit,36.6512,117.4126
Qingdao-Jinan In Transit,36.6512,117.3676
Qingdao-Jinan In Transit,36.6512,117.3226
Qingdao-Jinan In Transit,36.6512,117.2776
Qingdao-Jinan In Transit,36.6512,117.2326
Qingdao-Jinan In Transit,36.6512,117.1876
Qingdao-Jinan In Transit,36.6512,117.1426
Jinan,36.6512,117.1201
Jinan-Shijiazhuang In Transit,36.6962,117.0751
Jinan-Shijiazhuang In Transit,36.7412,117.0301
Jinan-Shijiazhuang In Transit,36.7862,116.9851
Jinan-Shijiazhuang In Transit,36.8312,116.9401
Jinan-Shijiazhuang In Transit,36.8762,116.8951
Jinan-Shijiazhuang In Transit,36.9212,116.8501
Jinan-Shijiazhuang In Transit,36.9662,116.8051
Jinan-Shijiazhuang In Transit,37.0112,116.7601
Jinan-Shijiazhuang In Transit,37.0562,116.7151
Jinan-Shijiazhuang In Transit,37.1012,116.6701
Jinan-Shijiazhuang In Transit,37.1462,116.6251
Jinan-Shijiazhuang In Transit,37.1912,116.5801
Jinan-Shijiazhuang In Transit,37.2362,116.5351
Jinan-Shijiazhuang In Transit,37.2812,116.4901
Jinan-Shijiazhuang In Transit,37.3262,116.4451
Jinan-Shijiazhuang In Transit,37.3712,116.4001
Jinan-Shijiazhuang In Transit,37.4162,116.3551
Jinan-Shijiazhuang In Transit,37.4612,116.3101
Jinan-Shijiazhuang In Transit,37.5062,116.2651
Jinan-Shijiazhuang In Transit,37.5512,116.2201
Jinan-Shijiazhuang In Transit,37.5962,116.1751
Jinan-Shijiazhuang In Transit,37.6412,116.1301
Jinan-Shijiazhuang In Transit,37.6862,116.0851
Jinan-Shijiazhuang In Transit,37.7312,116.0401
Jinan-Shijiazhuang In Transit,37.7762,115.9951
Jinan-Shijiazhuang In Transit,37.8212,115.9501
Jinan-Shijiazhuang In Transit,37.8662,115.9051
Jinan-Shijiazhuang In Transit,37.9112,115.8601
Jinan-Shijiazhuang In Transit,37.9562,115.8151
Jinan-Shijiazhuang In Transit,38.0012,115.7701
Jinan-Shijiazhuang In Transit,38.0428,115.7251
Jinan-Shijiazhuang In Transit,38.0428,115.6801
Jinan-Shijiazhuang In Transit,38.0428,115.6351
Jinan-Shijiazhuang In Transit,38.0428,115.5901
Jinan-Shijiazhuang In Transit,38.0428,115.5451
Jinan-Shijiazhuang In Transit,38.0428,115.5001
Jinan-Shijiazhuang In Transit,38.0428,115.4551
Jinan-Shijiazhuang In Transit,38.0428,115.4101
Jinan-Shijiazhuang In Transit,38.0428,115.3651
Jinan-Shijiazhuang In Transit,38.0428,115.3201
Jinan-Shijiazhuang In Transit,38.0428,115.2751
Jinan-Shijiazhuang In Transit,38.0428,115.2301
Jinan-Shijiazhuang In Transit,38.0428,115.1851
Jinan-Shijiazhuang In Transit,38.0428,115.1401
Jinan-Shijiazhuang In Transit,38.0428,115.0951
Jinan-Shijiazhuang In Transit,38.0428,115.0501
Jinan-Shijiazhuang In Transit,38.0428,115.0051
Jinan-Shijiazhuang In Transit,38.0428,114.9601
Jinan-Shijiazhuang In Transit,38.0428,114.9151
Jinan-Shijiazhuang In Transit,38.0428,114.8701
Jinan-Shijiazhuang In Transit,38.0428,114.8251
Jinan-Shijiazhuang In Transit,38.0428,114.7801
Jinan-Shijiazhuang In Transit,38.0428,114.7351
Jinan-Shijiazhuang In Transit,38.0428,114.6901
Jinan-Shijiazhuang In Transit,38.0428,114.6451
Jinan-Shijiazhuang In Transit,38.0428,114.6001
Jinan-Shijiazhuang In Transit,38.0428,114.5551
Shijiazhuang,38.0428,114.5149
Shijiazhuang-Taiyuan In Transit,37.9978,114.4699
Shijiazhuang-Taiyuan In Transit,37.9528,114.4249
Shijiazhuang-Taiyuan In Transit,37.9078,114.3799
Shijiazhuang-Taiyuan In Transit,37.8706,114.3349
Shijiazhuang-Taiyuan In Transit,37.8706,114.2899
Shijiazhuang-Taiyuan In Transit,37.8706,114.2449
Shijiazhuang-Taiyuan In Transit,37.8706,114.1999
Shijiazhuang-Taiyuan In Transit,37.8706,114.1549
Shijiazhuang-Taiyuan In Transit,37.8706,114.1099
Shijiazhuang-Taiyuan In Transit,37.8706,114.0649
Shijiazhuang-Taiyuan In Transit,37.8706,114.0199
Shijiazhuang-Taiyuan In Transit,37.8706,113.9749
Shijiazhuang-Taiyuan In Transit,37.8706,113.9299
Shijiazhuang-Taiyuan In Transit,37.8706,113.8849
Shijiazhuang-Taiyuan In Transit,37.8706,113.8399
Shijiazhuang-Taiyuan In Transit,37.8706,113.7949
Shijiazhuang-Taiyuan In Transit,37.8706,113.7499
Shijiazhuang-Taiyuan In Transit,37.8706,113.7049
Shijiazhuang-Taiyuan In Transit,37.8706,113.6599
Shijiazhuang-Taiyuan In Transit,37.8706,113.6149
Shijiazhuang-Taiyuan In Transit,37.8706,113.5699
Shijiazhuang-Taiyuan In Transit,37.8706,113.5249
Shijiazhuang-Taiyuan In Transit,37.8706,113.4799
Shijiazhuang-Taiyuan In Transit,37.8706,113.4349
Shijiazhuang-Taiyuan In Transit,37.8706,113.3899
Shijiazhuang-Taiyuan In Transit,37.8706,113.3449
Shijiazhuang-Taiyuan In Transit,37.8706,113.2999
Shijiazhuang-Taiyuan In Transit,37.8706,113.2549
Shijiazhuang-Taiyuan In Transit,37.8706,113.2099
Shijiazhuang-Taiyuan In Transit,37.8706,113.1649
Shijiazhuang-Taiyuan In Transit,37.8706,113.1199
Shijiazhuang-Taiyuan In Transit,37.8706,113.0749
Shijiazhuang-Taiyuan In Transit,37.8706,113.0299
Shijiazhuang-Taiyuan In Transit,37.8706,112.9849
Shijiazhuang-Taiyuan In Transit,37.8706,112.9399
Shijiazhuang-Taiyuan In Transit,37.8706,112.8949
Shijiazhuang-Taiyuan In Transit,37.8706,112.8499
Shijiazhuang-Taiyuan In Transit,37.8706,112.8049
Shijiazhuang-Taiyuan In Transit,37.8706,112.7599
Shijiazhuang-Taiyuan In Transit,37.8706,112.7149
Shijiazhuang-Taiyuan In Transit,37.8706,112.6699
Shijiazhuang-Taiyuan In Transit,37.8706,112.6249
Shijiazhuang-Taiyuan In Transit,37.8706,112.5799
Taiyuan,37.8706,112.5489
Taiyuan-Yinchuan In Transit,37.9156,112.5039
Taiyuan-Yinchuan In Transit,37.9606,112.4589
Taiyuan-Yinchuan In Transit,38.0056,112.4139
Taiyuan-Yinchuan In Transit,38.0506,112.3689
Taiyuan-Yinchuan In Transit,38.0956,112.3239
Taiyuan-Yinchuan In Transit,38.1406,112.2789
Taiyuan-Yinchuan In Transit,38.1856,112.2339
Taiyuan-Yinchuan In Transit,38.2306,112.1889
Taiyuan-Yinchuan In Transit,38.2756,112.1439
Taiyuan-Yinchuan In Transit,38.3206,112.0989
Taiyuan-Yinchuan In Transit,38.3656,112.0539
Taiyuan-Yinchuan In Transit,38.4106,112.0089
Taiyuan-Yinchuan In Transit,38.4556,111.9639
Taiyuan-Yinchuan In Transit,38.4872,111.9189
Taiyuan-Yinchuan In Transit,38.4872,111.8739
Taiyuan-Yinchuan In Transit,38.4872,111.8289
Taiyuan-Yinchuan In Transit,38.4872,111.7839
Taiyuan-Yinchuan In Transit,38.4872,111.7389
Taiyuan-Yinchuan In Transit,38.4872,111.6939
Taiyuan-Yinchuan In Transit,38.4872,111.6489
Taiyuan-Yinchuan In Transit,38.4872,111.6039
Taiyuan-Yinchuan In Transit,38.4872,111.5589
Taiyuan-Yinchuan In Transit,38.4872,111.5139
Taiyuan-Yinchuan In Transit,38.4872,111.4689
Taiyuan-Yinchuan In Transit,38.4872,111.4239
Taiyuan-Yinchuan In Transit,38.4872,111.3789
Taiyuan-Yinchuan In Transit,38.4872,111.3339
Taiyuan-Yinchuan In Transit,38.4872,111.2889
Taiyuan-Yinchuan In Transit,38.4872,111.2439
Taiyuan-Yinchuan In Transit,38.4872,111.1989
Taiyuan-Yinchuan In Transit,38.4872,111.1539
Taiyuan-Yinchuan In Transit,38.4872,111.1089
Taiyuan-Yinchuan In Transit,38.4872,111.0639
Taiyuan-Yinchuan In Transit,38.4872,111.0189
Taiyuan-Yinchuan In Transit,38.4872,110.9739
Taiyuan-Yinchuan In Transit,38.4872,110.9289
Taiyuan-Yinchuan In Transit,38.4872,110.8839
Taiyuan-Yinchuan In Transit,38.4872,110.8389
Taiyuan-Yinchuan In Transit,38.4872,110.7939
Taiyuan-Yinchuan In Transit,38.4872,110.7489
Taiyuan-Yinchuan In Transit,38.4872,110.7039
Taiyuan-Yinchuan In Transit,38.4872,110.6589
Taiyuan-Yinchuan In Transit,38.4872,110.6139
Taiyuan-Yinchuan In Transit,38.4872,110.5689
Taiyuan-Yinchuan In Transit,38.4872,110.5239
Taiyuan-Yinchuan In Transit,38.4872,110.4789
Taiyuan-Yinchuan In Transit,38.4872,110.4339
Taiyuan-Yinchuan In Transit,38.4872,110.3889
Taiyuan-Yinchuan In Transit,38.4872,110.3439
Taiyuan-Yinchuan In Transit,38.4872,110.2989
Taiyuan-Yinchuan In Transit,38.4872,110.2539
Taiyuan-Yinchuan In Transit,38.4872,110.2089
Taiyuan-Yinchuan In Transit,38.4872,110.1639
Taiyuan-Yinchuan In Transit,38.4872,110.1189
