Station,Lat,Lon
Urumqi,43.8256,87.6168
Urumqi-Zhangye In Transit,43.7806,87.6618
Urumqi-Zhangye In Transit,43.7356,87.7068
Urumqi-Zhangye In Transit,43.6906,87.7518
Urumqi-Zhangye In Transit,43.6456,87.7968
Urumqi-Zhangye In Transit,43.6006,87.8418
Urumqi-Zhangye In Transit,43.5556,87.8868
Urumqi-Zhangye In Transit,43.5106,87.9318
Urumqi-Zhangye In Transit,43.4656,87.9768
Urumqi-Zhangye In Transit,43.4206,88.0218
Urumqi-Zhangye In Transit,43.3756,88.0668
Urumqi-Zhangye In Transit,43.3306,88.1118
Urumqi-Zhangye In Transit,43.2856,88.1568
Urumqi-Zhangye In Transit,43.2406,88.2018
Urumqi-Zhangye In Transit,43.1956,88.2468
Urumqi-Zhangye In Transit,43.1506,88.2918
Urumqi-Zhangye In Transit,43.1056,88.3368
Urumqi-Zhangye In Transit,43.0606,88.3818
Urumqi-Zhangye In Transit,43.0156,88.4268
Urumqi-Zhangye In Transit,42.9706,88.4718
Urumqi-Zhangye In Transit,42.9256,88.5168
Urumqi-Zhangye In Transit,42.8806,88.5618
Urumqi-Zhangye In Transit,42.8356,88.6068
Urumqi-Zhangye In Transit,42.7906,88.6518
Urumqi-Zhangye In Transit,42.7456,88.6968
Urumqi-Zhangye In Transit,42.7006,88.7418
Urumqi-Zhangye In Transit,42.6556,88.7868
Urumqi-Zhangye In Transit,42.6106,88.8318
Urumqi-Zhangye In Transit,42.5656,88.8768
Urumqi-Zhangye In Transit,42.5206,88.9218
Urumqi-Zhangye In Transit,42.4756,88.9668
Urumqi-Zhangye In Transit,42.4306,89.0118
Urumqi-Zhangye In Transit,42.3856,89.0568
Urumqi-Zhangye In Transit,42.3406,89.1018
Urumqi-Zhangye In Transit,42.2956,89.1468
Urumqi-Zhangye In Transit,42.2506,89.1918
Urumqi-Zhangye In Transit,42.2056,89.2368
Urumqi-Zhangye In Transit,42.1606,89.2818
Urumqi-Zhangye In Transit,42.1156,89.3268
Urumqi-Zhangye In Transit,42.0706,89.3718
Urumqi-Zhangye In Transit,42.0256,89.4168
Urumqi-Zhangye In Transit,41.9806,89.4618
Urumqi-Zhangye In Transit,41.9356,89.5068
Urumqi-Zhangye In Transit,41.8906,89.5518
Urumqi-Zhangye In Transit,41.8456,89.5968
