Station,Lat,Lon
Shanghai,31.2304,121.4737
Shanghai-Nanjing In Transit,31.2754,121.4287
Shanghai-Nanjing In Transit,31.3204,121.3837
Shanghai-Nanjing In Transit,31.3654,121.3387
Shanghai-Nanjing In Transit,31.4104,121.2937
Shanghai-Nanjing In Transit,31.4554,121.2487
Shanghai-Nanjing In Transit,31.5004,121.2037
Shanghai-Nanjing In Transit,31.5454,121.1587
Shanghai-Nanjing In Transit,31.5904,121.1137
Shanghai-Nanjing In Transit,31.6354,121.0687
Shanghai-Nanjing In Transit,31.6804,121.0237
Shanghai-Nanjing In Transit,31.7254,120.9787
Shanghai-Nanjing In Transit,31.7704,120.9337
Shanghai-Nanjing In Transit,31.8154,120.8887
Shanghai-Nanjing In Transit,31.8604,120.8437
Shanghai-Nanjing In Transit,31.9054,120.7987
Shanghai-Nanjing In Transit,31.9504,120.7537
Shanghai-Nanjing In Transit,31.9954,120.7087
Shanghai-Nanjing In Transit,32.0404,120.6637
Shanghai-Nanjing In Transit,32.0603,120.6187
Shanghai-Nanjing In Transit,32.0603,120.5737
Shanghai-Nanjing In Transit,32.0603,120.5287
Shanghai-Nanjing In Transit,32.0603,120.4837
Shanghai-Nanjing In Transit,32.0603,120.4387
Shanghai-Nanjing In Transit,32.0603,120.3937
Shanghai-Nanjing In Transit,32.0603,120.3487
Shanghai-Nanjing In Transit,32.0603,120.3037
Shanghai-Nanjing In Transit,32.0603,120.2587
Shanghai-Nanjing In Transit,32.0603,120.2137
Shanghai-Nanjing In Transit,32.0603,120.1687
Shanghai-Nanjing In Transit,32.0603,120.1237
Shanghai-Nanjing In Transit,32.0603,120.0787
Shanghai-Nanjing In Transit,32.0603,120.0337
Shanghai-Nanjing In Transit,32.0603,119.9887
Shanghai-Nanjing In Transit,32.0603,119.9437
Shanghai-Nanjing In Transit,32.0603,119.8987
Shanghai-Nanjing In Transit,32.0603,119.8537
Shanghai-Nanjing In Transit,32.0603,119.8087
Shanghai-Nanjing In Transit,32.0603,119.7637
Shanghai-Nanjing In Transit,32.0603,119.7187
Shanghai-Nanjing In Transit,32.0603,119.6737
Shanghai-Nanjing In Transit,32.0603,119.6287
Shanghai-Nanjing In Transit,32.0603,119.5837
Shanghai-Nanjing In Transit,32.0603,119.5387
Shanghai-Nanjing In Transit,32.0603,119.4937
Shanghai-Nanjing In Transit,32.0603,119.4487
Shanghai-Nanjing In Transit,32.0603,119.4037
Shanghai-Nanjing In Transit,32.0603,119.3587
Shanghai-Nanjing In Transit,32.0603,119.3137
Shanghai-Nanjing In Transit,32.0603,119.2687
Shanghai-Nanjing In Transit,32.0603,119.2237
Shanghai-Nanjing In Transit,32.0603,119.1787
Shanghai-Nanjing In Transit,32.0603,119.1337
Shanghai-Nanjing In Transit,32.0603,119.0887
Shanghai-Nanjing In Transit,32.0603,119.0437
Shanghai-Nanjing In Transit,32.0603,118.9987
Shanghai-Nanjing In Transit,32.0603,118.9537
Shanghai-Nanjing In Transit,32.0603,118.9087
Shanghai-Nanjing In Transit,32.0603,118.8637
Shanghai-Nanjing In Transit,32.0603,118.8187
Nanjing,32.0603,118.7969
Nanjing-Hefei In Transit,32.0153,118.7519
Nanjing-Hefei In Transit,31.9703,118.7069
Nanjing-Hefei In Transit,31.9253,118.6619
Nanjing-Hefei In Transit,31.8803,118.6169
Nanjing-Hefei In Transit,31.8353,118.5719
Nanjing-Hefei In Transit,31.8206,118.5269
Nanjing-Hefei In Transit,31.8206,118.4819
Nanjing-Hefei In Transit,31.8206,118.4369
Nanjing-Hefei In Transit,31.8206,118.3919
Nanjing-Hefei In Transit,31.8206,118.3469
Nanjing-Hefei In Transit,31.8206,118.3019
Nanjing-Hefei In Transit,31.8206,118.2569
Nanjing-Hefei In Transit,31.8206,118.2119
Nanjing-Hefei In Transit,31.8206,118.1669
Nanjing-Hefei In Transit,31.8206,118.1219
Nanjing-Hefei In Transit,31.8206,118.0769
Nanjing-Hefei In Transit,31.8206,118.0319
Nanjing-Hefei In Transit,31.8206,117.9869
Nanjing-Hefei In Transit,31.8206,117.9419
Nanjing-Hefei In Transit,31.8206,117.8969
Nanjing-Hefei In Transit,31.8206,117.8519
Nanjing-Hefei In Transit,31.8206,117.8069
Nanjing-Hefei In Transit,31.8206,117.7619
Nanjing-Hefei In Transit,31.8206,117.7169
Nanjing-Hefei In Transit,31.8206,117.6719
Nanjing-Hefei In Transit,31.8206,117.6269
Nanjing-Hefei In Transit,31.8206,117.5819
Nanjing-Hefei In Transit,31.8206,117.5369
