Station,Lat,Lon
Shanghai,31.2304,121.4737
Shanghai-Hangzhou In Transit,31.1854,121.4287
Shanghai-Hangzhou In Transit,31.1404,121.3837
Shanghai-Hangzhou In Transit,31.0954,121.3387
Shanghai-Hangzhou In Transit,31.0504,121.2937
Shanghai-Hangzhou In Transit,31.0054,121.2487
Shanghai-Hangzhou In Transit,30.9604,121.2037
Shanghai-Hangzhou In Transit,30.9154,121.1587
Shanghai-Hangzhou In Transit,30.8704,121.1137
Shanghai-Hangzhou In Transit,30.8254,121.0687
Shanghai-Hangzhou In Transit,30.7804,121.0237
Shanghai-Hangzhou In Transit,30.7354,120.9787
Shanghai-Hangzhou In Transit,30.6904,120.9337
Shanghai-Hangzhou In Transit,30.6454,120.8887
Shanghai-Hangzhou In Transit,30.6004,120.8437
Shanghai-Hangzhou In Transit,30.5554,120.7987
Shanghai-Hangzhou In Transit,30.5104,120.7537
Shanghai-Hangzhou In Transit,30.4654,120.7087
Shanghai-Hangzhou In Transit,30.4204,120.6637
Shanghai-Hangzhou In Transit,30.3754,120.6187
Shanghai-Hangzhou In Transit,30.3304,120.5737
Shanghai-Hangzhou In Transit,30.2854,120.5287
Shanghai-Hangzhou In Transit,30.2741,120.4837
Shanghai-Hangzhou In Transit,30.2741,120.4387
Shanghai-Hangzhou In Transit,30.2741,120.3937
Shanghai-Hangzhou In Transit,30.2741,120.3487
Shanghai-Hangzhou In Transit,30.2741,120.3037
Shanghai-Hangzhou In Transit,30.2741,120.2587
Shanghai-Hangzhou In Transit,30.2741,120.2137
Shanghai-Hangzhou In Transit,30.2741,120.1687
Hangzhou,30.2741,120.1551
Hangzhou-Nanchang In Transit,30.2291,120.1101
Hangzhou-Nanchang In Transit,30.1841,120.0651
Hangzhou-Nanchang In Transit,30.1391,120.0201
Hangzhou-Nanchang In Transit,30.0941,119.9751
Hangzhou-Nanchang In Transit,30.0491,119.9301
Hangzhou-Nanchang In Transit,30.0041,119.8851
Hangzhou-Nanchang In Transit,29.9591,119.8401
Hangzhou-Nanchang In Transit,29.9141,119.7951
Hangzhou-Nanchang In Transit,29.8691,119.7501
Hangzhou-Nanchang In Transit,29.8241,119.7051
Hangzhou-Nanchang In Transit,29.7791,119.6601
Hangzhou-Nanchang In Transit,29.7341,119.6151
Hangzhou-Nanchang In Transit,29.6891,119.5701
Hangzhou-Nanchang In Transit,29.6441,119.5251
Hangzhou-Nanchang In Transit,29.5991,119.4801
Hangzhou-Nanchang In Transit,29.5541,119.4351
Hangzhou-Nanchang In Transit,29.5091,119.3901
Hangzhou-Nanchang In Transit,29.4641,119.3451
Hangzhou-Nanchang In Transit,29.4191,119.3001
Hangzhou-Nanchang In Transit,29.3741,119.2551
Hangzhou-Nanchang In Transit,29.3291,119.2101
Hangzhou-Nanchang In Transit,29.2841,119.1651
Hangzhou-Nanchang In Transit,29.2391,119.1201
Hangzhou-Nanchang In Transit,29.1941,119.0751
Hangzhou-Nanchang In Transit,29.1491,119.0301
