Station,Lat,Lon
Xiamen,24.4798,118.0894
Xiamen-Longyan In Transit,24.5248,118.0444
Xiamen-Longyan In Transit,24.5698,117.9994
Xiamen-Longyan In Transit,24.6148,117.9544
Xiamen-Longyan In Transit,24.6598,117.9094
Xiamen-Longyan In Transit,24.7048,117.8644
Xiamen-Longyan In Transit,24.7498,117.8194
Xiamen-Longyan In Transit,24.7948,117.7744
Xiamen-Longyan In Transit,24.8398,117.7294
Xiamen-Longyan In Transit,24.8848,117.6844
Xiamen-Longyan In Transit,24.9298,117.6394
Xiamen-Longyan In Transit,24.9748,117.5944
Xiamen-Longyan In Transit,25.0198,117.5494
Xiamen-Longyan In Transit,25.0648,117.5044
Xiamen-Longyan In Transit,25.0751,117.4594
Xiamen-Longyan In Transit,25.0751,117.4144
Xiamen-Longyan In Transit,25.0751,117.3694
Xiamen-Longyan In Transit,25.0751,117.3244
Xiamen-Longyan In Transit,25.0751,117.2794
Xiamen-Longyan In Transit,25.0751,117.2344
Xiamen-Longyan In Transit,25.0751,117.1894
Xiamen-Longyan In Transit,25.0751,117.1444
Xiamen-Longyan In Transit,25.0751,117.0994
Xiamen-Longyan In Transit,25.0751,117.0544
Longyan,25.0751,117.0174
Longyan-Ganzhou In Transit,25.1201,116.9724
Longyan-Ganzhou In Transit,25.1651,116.9274
Longyan-Ganzhou In Transit,25.2101,116.8824
Longyan-Ganzhou In Transit,25.2551,116.8374
Longyan-Ganzhou In Transit,25.3001,116.7924
Longyan-Ganzhou In Transit,25.3451,116.7474
Longyan-Ganzhou In Transit,25.3901,116.7024
Longyan-Ganzhou In Transit,25.4351,116.6574
Longyan-Ganzhou In Transit,25.4801,116.6124
Longyan-Ganzhou In Transit,25.5251,116.5674
Longyan-Ganzhou In Transit,25.5701,116.5224
Longyan-Ganzhou In Transit,25.6151,116.4774
Longyan-Ganzhou In Transit,25.6601,116.4324
Longyan-Ganzhou In Transit,25.7051,116.3874
Longyan-Ganzhou In Transit,25.7501,116.3424
Longyan-Ganzhou In Transit,25.7951,116.2974
Longyan-Ganzhou In Transit,25.8311,116.2524
Longyan-Ganzhou In Transit,25.8311,116.2074
Longyan-Ganzhou In Transit,25.8311,116.1624
Longyan-Ganzhou In Transit,25.8311,116.1174
Longyan-Ganzhou In Transit,25.8311,116.0724
Longyan-Ganzhou In Transit,25.8311,116.0274
Longyan-Ganzhou In Transit,25.8311,115.9824
Longyan-Ganzhou In Transit,25.8311,115.9374
Longyan-Ganzhou In Transit,25.8311,115.8924
Longyan-Ganzhou In Transit,25.8311,115.8474
Longyan-Ganzhou In Transit,25.8311,115.8024
Longyan-Ganzhou In Transit,25.8311,115.7574
Longyan-Ganzhou In Transit,25.8311,115.7124
Longyan-Ganzhou In Transit,25.8311,115.6674
Longyan-Ganzhou In Transit,25.8311,115.6224
Longyan-Ganzhou In Transit,25.8311,115.5774
Longyan-Ganzhou In Transit,25.8311,115.5324
Longyan-Ganzhou In Transit,25.8311,115.4874
Longyan-Ganzhou In Transit,25.8311,115.4424
Longyan-Ganzhou In Transit,25.8311,115.3974
Longyan-Ganzhou In Transit,25.8311,115.3524
Longyan-Ganzhou In Transit,25.8311,115.3074
Longyan-Ganzhou In Transit,25.8311,115.2624
Longyan-Ganzhou In Transit,25.8311,115.2174
Longyan-Ganzhou In Transit,25.8311,115.1724
Longyan-Ganzhou In Transit,25.8311,115.1274
Longyan-Ganzhou In Transit,25.8311,115.0824
Longyan-Ganzhou In Transit,25.8311,115.0374
Longyan-Ganzhou In Transit,25.8311,114.9924
Longyan-Ganzhou In Transit,25.8311,114.9474
Ganzhou,25.8311,114.9403
Ganzhou-Changsha In Transit,25.8761,114.8953
Ganzhou-Changsha In Transit,25.9211,114.8503
Ganzhou-Changsha In Transit,25.9661,114.8053
Ganzhou-Changsha In Transit,26.0111,114.7603
Ganzhou-Changsha In Transit,26.0561,114.7153
Ganzhou-Changsha In Transit,26.1011,114.6703
