Station,Lat,Lon
Guangzhou,23.1291,113.2644
Guangzhou-Nanning In Transit,23.0841,113.2194
Guangzhou-Nanning In Transit,23.0391,113.1744
Guangzhou-Nanning In Transit,22.9941,113.1294
Guangzhou-Nanning In Transit,22.9491,113.0844
Guangzhou-Nanning In Transit,22.9041,113.0394
Guangzhou-Nanning In Transit,22.8591,112.9944
Guangzhou-Nanning In Transit,22.8176,112.9494
Guangzhou-Nanning In Transit,22.8176,112.9044
Guangzhou-Nanning In Transit,22.8176,112.8594
Guangzhou-Nanning In Transit,22.8176,112.8144
Guangzhou-Nanning In Transit,22.8176,112.7694
Guangzhou-Nanning In Transit,22.8176,112.7244
Guangzhou-Nanning In Transit,22.8176,112.6794
Guangzhou-Nanning In Transit,22.8176,112.6344
Guangzhou-Nanning In Transit,22.8176,112.5894
Guangzhou-Nanning In Transit,22.8176,112.5444
Guangzhou-Nanning In Transit,22.8176,112.4994
Guangzhou-Nanning In Transit,22.8176,112.4544
Guangzhou-Nanning In Transit,22.8176,112.4094
Guangzhou-Nanning In Transit,22.8176,112.3644
Guangzhou-Nanning In Transit,22.8176,112.3194
Guangzhou-Nanning In Transit,22.8176,112.2744
Guangzhou-Nanning In Transit,22.8176,112.2294
Guangzhou-Nanning In Transit,22.8176,112.1844
Guangzhou-Nanning In Transit,22.8176,112.1394
Guangzhou-Nanning In Transit,22.8176,112.0944
Guangzhou-Nanning In Transit,22.8176,112.0494
Guangzhou-Nanning In Transit,22.8176,112.0044
Guangzhou-Nanning In Transit,22.8176,111.9594
Guangzhou-Nanning In Transit,22.8176,111.9144
Guangzhou-Nanning In Transit,22.8176,111.8694
Guangzhou-Nanning In Transit,22.8176,111.8244
Guangzhou-Nanning In Transit,22.8176,111.7794
Guangzhou-Nanning In Transit,22.8176,111.7344
Guangzhou-Nanning In Transit,22.8176,111.6894
Guangzhou-Nanning In Transit,22.8176,111.6444
Guangzhou-Nanning In Transit,22.8176,111.5994
Guangzhou-Nanning In Transit,22.8176,111.5544
Guangzhou-Nanning In Transit,22.8176,111.5094
Guangzhou-Nanning In Transit,22.8176,111.4644
Guangzhou-Nanning In Transit,22.8176,111.4194
Guangzhou-Nanning In Transit,22.8176,111.3744
Guangzhou-Nanning In Transit,22.8176,111.3294
Guangzhou-Nanning In Transit,22.8176,111.2844
Guangzhou-Nanning In Transit,22.8176,111.2394
Guangzhou-Nanning In Transit,22.8176,111.1944
Guangzhou-Nanning In Transit,22.8176,111.1494
Guangzhou-Nanning In Transit,22.8176,111.1044
Guangzhou-Nanning In Transit,22.8176,111.0594
Guangzhou-Nanning In Transit,22.8176,111.0144
Guangzhou-Nanning In Transit,22.8176,110.9694
Guangzhou-Nanning In Transit,22.8176,110.9244
Guangzhou-Nanning In Transit,22.8176,110.8794
Guangzhou-Nanning In Transit,22.8176,110.8344
Guangzhou-Nanning In Transit,22.8176,110.7894
Guangzhou-Nanning In Transit,22.8176,110.7444
Guangzhou-Nanning In Transit,22.8176,110.6994
Guangzhou-Nanning In Transit,22.8176,110.6544
Guangzhou-Nanning In Transit,22.8176,110.6094
Guangzhou-Nanning In Transit,22.8176,110.5644
Guangzhou-Nanning In Transit,22.8176,110.5194
Guangzhou-Nanning In Transit,22.8176,110.4744
Guangzhou-Nanning In Transit,22.8176,110.4294
Guangzhou-Nanning In Transit,22.8176,110.3844
Guangzhou-Nanning In Transit,22.8176,110.3394
Guangzhou-Nanning In Transit,22.8176,110.2944
Guangzhou-Nanning In Transit,22.8176,110.2494
Guangzhou-Nanning In Transit,22.8176,110.2044
Guangzhou-Nanning In Transit,22.8176,110.1594
Guangzhou-Nanning In Transit,22.8176,110.1144
Guangzhou-Nanning In Transit,22.8176,110.0694
Guangzhou-Nanning In Transit,22.8176,110.0244
Guangzhou-Nanning In Transit,22.8176,109.9794
Guangzhou-Nanning In Transit,22.8176,109.9344
Guangzhou-Nanning In Transit,22.8176,109.8894
Guangzhou-Nanning In Transit,22.8176,109.8444
Guangzhou-Nanning In Transit,22.8176,109.7994
Guangzhou-Nanning In Transit,22.8176,109.7544
Guangzhou-Nanning In Transit,22.8176,109.7094
Guangzhou-Nanning In Transit,22.8176,109.6644
Guangzhou-Nanning In Transit,22.8176,109.6194
Guangzhou-Nanning In Transit,22.8176,109.5744
Guangzhou-Nanning In Transit,22.8176,109.5294
Guangzhou-Nanning In Transit,22.8176,109.4844
Guangzhou-Nanning In Transit,22.8176,109.4394
Guangzhou-Nanning In Transit,22.8176,109.3944
Guangzhou-Nanning In Transit,22.8176,109.3494
Guangzhou-Nanning In Transit,22.8176,109.3044
Guangzhou-Nanning In Transit,22.8176,109.2594
Guangzhou-Nanning In Transit,22.8176,109.2144
Guangzhou-Nanning In Transit,22.8176,109.1694
Guangzhou-Nanning In Transit,22.8176,109.1244
Guangzhou-Nanning In Transit,22.8176,109.0794
Guangzhou-Nanning In Transit,22.8176,109.0344
Guangzhou-Nanning In Transit,22.8176,108.9894
Guangzhou-Nanning In Transit,22.8176,108.9444
Guangzhou-Nanning In Transit,22.8176,108.8994
Guangzhou-Nanning In Transit,22.8176,108.8544
Guangzhou-Nanning In Transit,22.8176,108.8094
Guangzhou-Nanning In Transit,22.8176,108.7644
Guangzhou-Nanning In Transit,22.8176,108.7194
Guangzhou-Nanning In Transit,22.8176,108.6744
Guangzhou-Nanning In Transit,22.8176,108.6294
Guangzhou-Nanning In Transit,22.8176,108.5844
Guangzhou-Nanning In Transit,22.8176,108.5394
Guangzhou-Nanning In Transit,22.8176,108.4944
Guangzhou-Nanning In Transit,22.8176,108.4494
Guangzhou-Nanning In Transit,22.8176,108.4044
Nanning,22.8176,108.3669
Nanning-Kunming In Transit,22.8626,108.3219
Nanning-Kunming In Transit,22.9076,108.2769
Nanning-Kunming In Transit,22.9526,108.2319
Nanning-Kunming In Transit,22.9976,108.1869
Nanning-Kunming In Transit,23.0426,108.1419
Nanning-Kunming In Transit,23.0876,108.0969
Nanning-Kunming In Transit,23.1326,108.0519
Nanning-Kunming In Transit,23.1776,108.0069
Nanning-Kunming In Transit,23.2226,107.9619
Nanning-Kunming In Transit,23.2676,107.9169
Nanning-Kunming In Transit,23.3126,107.8719
Nanning-Kunming In Transit,23.3576,107.8269
Nanning-Kunming In Transit,23.4026,107.7819
Nanning-Kunming In Transit,23.4476,107.7369
Nanning-Kunming In Transit,23.4926,107.6919
Nanning-Kunming In Transit,23.5376,107.6469
Nanning-Kunming In Transit,23.5826,107.6019
Nanning-Kunming In Transit,23.6276,107.5569
Nanning-Kunming In Transit,23.6726,107.5119
Nanning-Kunming In Transit,23.7176,107.4669
Nanning-Kunming In Transit,23.7626,107.4219
Nanning-Kunming In Transit,23.8076,107.3769
Nanning-Kunming In Transit,23.8526,107.3319
Nanning-Kunming In Transit,23.8976,107.2869
Nanning-Kunming In Transit,23.9426,107.2419
Nanning-Kunming In Transit,23.9876,107.1969
Nanning-Kunming In Transit,24.0326,107.1519
Nanning-Kunming In Transit,24.0776,107.1069
Nanning-Kunming In Transit,24.1226,107.0619
Nanning-Kunming In Transit,24.1676,107.0169
Nanning-Kunming In Transit,24.2126,106.9719
Nanning-Kunming In Transit,24.2576,106.9269
Nanning-Kunming In Transit,24.3026,106.8819
Nanning-Kunming In Transit,24.3476,106.8369
Nanning-Kunming In Transit,24.3926,106.7919
Nanning-Kunming In Transit,24.4376,106.7469
Nanning-Kunming In Transit,24.4826,106.7019
Nanning-Kunming In Transit,24.5276,106.6569
Nanning-Kunming In Transit,24.5726,106.6119
Nanning-Kunming In Transit,24.6176,106.5669
Nanning-Kunming In Transit,24.6626,106.5219
Nanning-Kunming In Transit,24.7076,106.4769
Nanning-Kunming In Transit,24.7526,106.4319
Nanning-Kunming In Transit,24.7976,106.3869
Nanning-Kunming In Transit,24.8426,106.3419
Nanning-Kunming In Transit,24.8876,106.2969
Nanning-Kunming In Transit,24.9326,106.2519
Nanning-Kunming In Transit,24.9776,106.2069
Nanning-Kunming In Transit,25.0226,106.1619
Nanning-Kunming In Transit,25.0389,106.1169
Nanning-Kunming In Transit,25.0389,106.0719
Nanning-Kunming In Transit,25.0389,106.0269
Nanning-Kunming In Transit,25.0389,105.9819
Nanning-Kunming In Transit,25.0389,105.9369
Nanning-Kunming In Transit,25.0389,105.8919
Nanning-Kunming In Transit,25.0389,105.8469
Nanning-Kunming In Transit,25.0389,105.8019
Nanning-Kunming In Transit,25.0389,105.7569
Nanning-Kunming In Transit,25.0389,105.7119
Nanning-Kunming In Transit,25.0389,105.6669
Nanning-Kunming In Transit,25.0389,105.6219
Nanning-Kunming In Transit,25.0389,105.5769
Nanning-Kunming In Transit,25.0389,105.5319
Nanning-Kunming In Transit,25.0389,105.4869
Nanning-Kunming In Transit,25.0389,105.4419
Nanning-Kunming In Transit,25.0389,105.3969
Nanning-Kunming In Transit,25.0389,105.3519
Nanning-Kunming In Transit,25.0389,105.3069
Nanning-Kunming In Transit,25.0389,105.2619
Nanning-Kunming In Transit,25.0389,105.2169
Nanning-Kunming In Transit,25.0389,105.1719
Nanning-Kunming In Transit,25.0389,105.1269
