Station,Lat,Lon
Beijing,39.9,116.4
Beijing-Tianjin In Transit,39.855,116.445
Beijing-Tianjin In Transit,39.81,116.49
Beijing-Tianjin In Transit,39.765,116.535
Beijing-Tianjin In Transit,39.72,116.58
Beijing-Tianjin In Transit,39.675,116.625
Beijing-Tianjin In Transit,39.63,116.67
Beijing-Tianjin In Transit,39.585,116.715
Beijing-Tianjin In Transit,39.54,116.76
Beijing-Tianjin In Transit,39.495,116.805
Beijing-Tianjin In Transit,39.45,116.85
Beijing-Tianjin In Transit,39.405,116.895
Beijing-Tianjin In Transit,39.36,116.94
Beijing-Tianjin In Transit,39.315,116.985
Beijing-Tianjin In Transit,39.27,117.03
Beijing-Tianjin In Transit,39.225,117.075
Beijing-Tianjin In Transit,39.18,117.12
Beijing-Tianjin In Transit,39.135,117.165
Beijing-Tianjin In Transit,39.09,117.2
Tianjin,39.08,117.2
Tianjin-Jinan In Transit,39.035,117.155
Tianjin-Jinan In Transit,38.99,117.11
Tianjin-Jinan In Transit,38.945,117.065
Tianjin-Jinan In Transit,38.9,117.02
Tianjin-Jinan In Transit,38.855,116.99
Tianjin-Jinan In Transit,38.81,116.99
Tianjin-Jinan In Transit,38.765,116.99
Tianjin-Jinan In Transit,38.72,116.99
Tianjin-Jinan In Transit,38.675,116.99
Tianjin-Jinan In Transit,38.63,116.99
Tianjin-Jinan In Transit,38.585,116.99
Tianjin-Jinan In Transit,38.54,116.99
Tianjin-Jinan In Transit,38.495,116.99
Tianjin-Jinan In Transit,38.45,116.99
Tianjin-Jinan In Transit,38.405,116.99
Tianjin-Jinan In Transit,38.36,116.99
Tianjin-Jinan In Transit,38.315,116.99
Tianjin-Jinan In Transit,38.27,116.99
Tianjin-Jinan In Transit,38.225,116.99
Tianjin-Jinan In Transit,38.18,116.99
Tianjin-Jinan In Transit,38.135,116.99
Tianjin-Jinan In Transit,38.09,116.99
Tianjin-Jinan In Transit,38.045,116.99
Tianjin-Jinan In Transit,38,116.99
Tianjin-Jinan In Transit,37.955,116.99
Tianjin-Jinan In Transit,37.91,116.99
Tianjin-Jinan In Transit,37.865,116.99
Tianjin-Jinan In Transit,37.82,116.99
Tianjin-Jinan In Transit,37.775,116.99
Tianjin-Jinan In Transit,37.73,116.99
Tianjin-Jinan In Transit,37.685,116.99
Tianjin-Jinan In Transit,37.64,116.99
Tianjin-Jinan In Transit,37.595,116.99
Tianjin-Jinan In Transit,37.55,116.99
Tianjin-Jinan In Transit,37.505,116.99
Tianjin-Jinan In Transit,37.46,116.99
Tianjin-Jinan In Transit,37.415,116.99
Tianjin-Jinan In Transit,37.37,116.99
Tianjin-Jinan In Transit,37.325,116.99
Tianjin-Jinan In Transit,37.28,116.99
Tianjin-Jinan In Transit,37.235,116.99
Tianjin-Jinan In Transit,37.19,116.99
Tianjin-Jinan In Transit,37.145,116.99
Tianjin-Jinan In Transit,37.1,116.99
Tianjin-Jinan In Transit,37.055,116.99
Tianjin-Jinan In Transit,37.01,116.99
Tianjin-Jinan In Transit,36.965,116.99
Tianjin-Jinan In Transit,36.92,116.99
Tianjin-Jinan In Transit,36.875,116.99
Tianjin-Jinan In Transit,36.83,116.99
Tianjin-Jinan In Transit,36.785,116.99
Tianjin-Jinan In Transit,36.74,116.99
Tianjin-Jinan In Transit,36.695,116.99
Jinan,36.65,116.99
Jinan-Nanjing In Transit,36.605,117.035
Jinan-Nanjing In Transit,36.56,117.08
Jinan-Nanjing In Transit,36.515,117.125
Jinan-Nanjing In Transit,36.47,117.17
Jinan-Nanjing In Transit,36.425,117.215
Jinan-Nanjing In Transit,36.38,117.26
Jinan-Nanjing In Transit,36.335,117.305
Jinan-Nanjing In Transit,36.29,117.35
Jinan-Nanjing In Transit,36.245,117.395
Jinan-Nanjing In Transit,36.2,117.44
