Station,Lat,Lon
Beijing,39.9,116.4
Beijing-Tianjin In Transit,39.855,116.445
Beijing-Tianjin In Transit,39.81,116.49
Beijing-Tianjin In Transit,39.765,116.535
Beijing-Tianjin In Transit,39.72,116.58
Beijing-Tianjin In Transit,39.675,116.625
Beijing-Tianjin In Transit,39.63,116.67
Beijing-Tianjin In Transit,39.585,116.715
Beijing-Tianjin In Transit,39.54,116.76
Beijing-Tianjin In Transit,39.495,116.805
Beijing-Tianjin In Transit,39.45,116.85
Beijing-Tianjin In Transit,39.405,116.895
Beijing-Tianjin In Transit,39.36,116.94
Beijing-Tianjin In Transit,39.315,116.985
Beijing-Tianjin In Transit,39.27,117.03
Beijing-Tianjin In Transit,39.225,117.075
Beijing-Tianjin In Transit,39.18,117.12
Beijing-Tianjin In Transit,39.135,117.165
Beijing-Tianjin In Transit,39.09,117.2
Tianjin,39.08,117.2
Tianjin-Dongying In Transit,39.035,117.245
Tianjin-Dongying In Transit,38.99,117.29
Tianjin-Dongying In Transit,38.945,117.335
Tianjin-Dongying In Transit,38.9,117.38
Tianjin-Dongying In Transit,38.855,117.425
Tianjin-Dongying In Transit,38.81,117.47
Tianjin-Dongying In Transit,38.765,117.515
Tianjin-Dongying In Transit,38.72,117.56
Tianjin-Dongying In Transit,38.675,117.605
Tianjin-Dongying In Transit,38.63,117.65
Tianjin-Dongying In Transit,38.585,117.695
Tianjin-Dongying In Transit,38.54,117.74
Tianjin-Dongying In Transit,38.495,117.785
Tianjin-Dongying In Transit,38.45,117.83
Tianjin-Dongying In Transit,38.405,117.875
Tianjin-Dongying In Transit,38.36,117.92
Tianjin-Dongying In Transit,38.315,117.965
Tianjin-Dongying In Transit,38.27,118.01
Tianjin-Dongying In Transit,38.225,118.055
Tianjin-Dongying In Transit,38.18,118.1
Tianjin-Dongying In Transit,38.135,118.145
Tianjin-Dongying In Transit,38.09,118.19
Tianjin-Dongying In Transit,38.045,118.235
Tianjin-Dongying In Transit,38,118.28
Tianjin-Dongying In Transit,37.955,118.325
Tianjin-Dongying In Transit,37.91,118.37
Tianjin-Dongying In Transit,37.865,118.415
Tianjin-Dongying In Transit,37.82,118.46
Tianjin-Dongying In Transit,37.775,118.505
Tianjin-Dongying In Transit,37.73,118.55
Tianjin-Dongying In Transit,37.685,118.595
Tianjin-Dongying In Transit,37.64,118.64
Tianjin-Dongying In Transit,37.595,118.67
Tianjin-Dongying In Transit,37.55,118.67
Tianjin-Dongying In Transit,37.505,118.67
Tianjin-Dongying In Transit,37.46,118.67
Dongying,37.43,118.67
Dongying-Weifang In Transit,37.385,118.715
Dongying-Weifang In Transit,37.34,118.76
Dongying-Weifang In Transit,37.295,118.805
Dongying-Weifang In Transit,37.25,118.85
Dongying-Weifang In Transit,37.205,118.895
Dongying-Weifang In Transit,37.16,118.94
Dongying-Weifang In Transit,37.115,118.985
Dongying-Weifang In Transit,37.07,119.03
Dongying-Weifang In Transit,37.025,119.075
Dongying-Weifang In Transit,36.98,119.12
Dongying-Weifang In Transit,36.935,119.16
Dongying-Weifang In Transit,36.89,119.16
Dongying-Weifang In Transit,36.845,119.16
Dongying-Weifang In Transit,36.8,119.16
Dongying-Weifang In Transit,36.755,119.16
Weifang,36.71,119.16
Weifang-Linyi In Transit,36.665,119.115
Weifang-Linyi In Transit,36.62,119.07
Weifang-Linyi In Transit,36.575,119.025
Weifang-Linyi In Transit,36.53,118.98
Weifang-Linyi In Transit,36.485,118.935
Weifang-Linyi In Transit,36.44,118.89
Weifang-Linyi In Transit,36.395,118.845
Weifang-Linyi In Transit,36.35,118.8
Weifang-Linyi In Transit,36.305,118.755
Weifang-Linyi In Transit,36.26,118.71
Weifang-Linyi In Transit,36.215,118.665
Weifang-Linyi In Transit,36.17,118.62
Weifang-Linyi In Transit,36.125,118.575
