Station,Lat,Lon
Beijing,39.9,116.4
Beijing-Hengshui In Transit,39.855,116.355
Beijing-Hengshui In Transit,39.81,116.31
Beijing-Hengshui In Transit,39.765,116.265
Beijing-Hengshui In Transit,39.72,116.22
Beijing-Hengshui In Transit,39.675,116.175
Beijing-Hengshui In Transit,39.63,116.13
Beijing-Hengshui In Transit,39.585,116.085
Beijing-Hengshui In Transit,39.54,116.04
Beijing-Hengshui In Transit,39.495,115.995
Beijing-Hengshui In Transit,39.45,115.95
Beijing-Hengshui In Transit,39.405,115.905
Beijing-Hengshui In Transit,39.36,115.86
Beijing-Hengshui In Transit,39.315,115.815
Beijing-Hengshui In Transit,39.27,115.77
Beijing-Hengshui In Transit,39.225,115.725
Beijing-Hengshui In Transit,39.18,115.7
Beijing-Hengshui In Transit,39.135,115.7
Beijing-Hengshui In Transit,39.09,115.7
Beijing-Hengshui In Transit,39.045,115.7
Beijing-Hengshui In Transit,39,115.7
Beijing-Hengshui In Transit,38.955,115.7
Beijing-Hengshui In Transit,38.91,115.7
Beijing-Hengshui In Transit,38.865,115.7
Beijing-Hengshui In Transit,38.82,115.7
Beijing-Hengshui In Transit,38.775,115.7
Beijing-Hengshui In Transit,38.73,115.7
Beijing-Hengshui In Transit,38.685,115.7
Beijing-Hengshui In Transit,38.64,115.7
Beijing-Hengshui In Transit,38.595,115.7
Beijing-Hengshui In Transit,38.55,115.7
Beijing-Hengshui In Transit,38.505,115.7
Beijing-Hengshui In Transit,38.46,115.7
Beijing-Hengshui In Transit,38.415,115.7
Beijing-Hengshui In Transit,38.37,115.7
Beijing-Hengshui In Transit,38.325,115.7
Beijing-Hengshui In Transit,38.28,115.7
Beijing-Hengshui In Transit,38.235,115.7
Beijing-Hengshui In Transit,38.19,115.7
Beijing-Hengshui In Transit,38.145,115.7
Beijing-Hengshui In Transit,38.1,115.7
Beijing-Hengshui In Transit,38.055,115.7
Beijing-Hengshui In Transit,38.01,115.7
Beijing-Hengshui In Transit,37.965,115.7
Beijing-Hengshui In Transit,37.92,115.7
Beijing-Hengshui In Transit,37.875,115.7
Beijing-Hengshui In Transit,37.83,115.7
Beijing-Hengshui In Transit,37.785,115.7
Beijing-Hengshui In Transit,37.74,115.7
Hengshui,37.73,115.7
Hengshui-Heze In Transit,37.685,115.655
Hengshui-Heze In Transit,37.64,115.61
Hengshui-Heze In Transit,37.595,115.565
Hengshui-Heze In Transit,37.55,115.52
Hengshui-Heze In Transit,37.505,115.48
Hengshui-Heze In Transit,37.46,115.48
Hengshui-Heze In Transit,37.415,115.48
Hengshui-Heze In Transit,37.37,115.48
Hengshui-Heze In Transit,37.325,115.48
Hengshui-Heze In Transit,37.28,115.48
Hengshui-Heze In Transit,37.235,115.48
Hengshui-Heze In Transit,37.19,115.48
Hengshui-Heze In Transit,37.145,115.48
Hengshui-Heze In Transit,37.1,115.48
Hengshui-Heze In Transit,37.055,115.48
Hengshui-Heze In Transit,37.01,115.48
Hengshui-Heze In Transit,36.965,115.48
Hengshui-Heze In Transit,36.92,115.48
Hengshui-Heze In Transit,36.875,115.48
Hengshui-Heze In Transit,36.83,115.48
Hengshui-Heze In Transit,36.785,115.48
Hengshui-Heze In Transit,36.74,115.48
Hengshui-Heze In Transit,36.695,115.48
Hengshui-Heze In Transit,36.65,115.48
Hengshui-Heze In Transit,36.605,115.48
Hengshui-Heze In Transit,36.56,115.48
Hengshui-Heze In Transit,36.515,115.48
Hengshui-Heze In Transit,36.47,115.48
Hengshui-Heze In Transit,36.425,115.48
Hengshui-Heze In Transit,36.38,115.48
Hengshui-Heze In Transit,36.335,115.48
Hengshui-Heze In Transit,36.29,115.48
Hengshui-Heze In Transit,36.245,115.48
Hengshui-Heze In Transit,36.2,115.48
Hengshui-Heze In Transit,36.155,115.48
Hengshui-Heze In Transit,36.11,115.48
Hengshui-Heze In Transit,36.065,115.48
Hengshui-Heze In Transit,36.02,115.48
Hengshui-Heze In Transit,35.975,115.48
Hengshui-Heze In Transit,35.93,115.48
Hengshui-Heze In Transit,35.885,115.48
Hengshui-Heze In Transit,35.84,115.48
Hengshui-Heze In Transit,35.795,115.48
Hengshui-Heze In Transit,35.75,115.48
Hengshui-Heze In Transit,35.705,115.48
Hengshui-Heze In Transit,35.66,115.48
Hengshui-Heze In Transit,35.615,115.48
Hengshui-Heze In Transit,35.57,115.48
Hengshui-Heze In Transit,35.525,115.48
Hengshui-Heze In Transit,35.48,115.48
Hengshui-Heze In Transit,35.435,115.48
Hengshui-Heze In Transit,35.39,115.48
Hengshui-Heze In Transit,35.345,115.48
Hengshui-Heze In Transit,35.3,115.48
Hengshui-Heze In Transit,35.255,115.48
Heze,35.24,115.48
Heze-Shangqiu In Transit,35.195,115.525
Heze-Shangqiu In Transit,35.15,115.57
Heze-Shangqiu In Transit,35.105,115.615
Heze-Shangqiu In Transit,35.06,115.65
Heze-Shangqiu In Transit,35.015,115.65
Heze-Shangqiu In Transit,34.97,115.65
Heze-Shangqiu In Transit,34.925,115.65
Heze-Shangqiu In Transit,34.88,115.65
Heze-Shangqiu In Transit,34.835,115.65
Heze-Shangqiu In Transit,34.79,115.65
Heze-Shangqiu In Transit,34.745,115.65
Heze-Shangqiu In Transit,34.7,115.65
Heze-Shangqiu In Transit,34.655,115.65
Heze-Shangqiu In Transit,34.61,115.65
Heze-Shangqiu In Transit,34.565,115.65
Heze-Shangqiu In Transit,34.52,115.65
Heze-Shangqiu In Transit,34.475,115.65
Heze-Shangqiu In Transit,34.43,115.65
Shangqiu,34.41,115.65
Shangqiu-Fuyang In Transit,34.365,115.695
Shangqiu-Fuyang In Transit,34.32,115.74
Shangqiu-Fuyang In Transit,34.275,115.785
Shangqiu-Fuyang In Transit,34.23,115.81
Shangqiu-Fuyang In Transit,34.185,115.81
Shangqiu-Fuyang In Transit,34.14,115.81
Shangqiu-Fuyang In Transit,34.095,115.81
Shangqiu-Fuyang In Transit,34.05,115.81
Shangqiu-Fuyang In Transit,34.005,115.81
Shangqiu-Fuyang In Transit,33.96,115.81
Shangqiu-Fuyang In Transit,33.915,115.81
Shangqiu-Fuyang In Transit,33.87,115.81
Shangqiu-Fuyang In Transit,33.825,115.81
Shangqiu-Fuyang In Transit,33.78,115.81
Shangqiu-Fuyang In Transit,33.735,115.81
Shangqiu-Fuyang In Transit,33.69,115.81
Shangqiu-Fuyang In Transit,33.645,115.81
Shangqiu-Fuyang In Transit,33.6,115.81
Shangqiu-Fuyang In Transit,33.555,115.81
Shangqiu-Fuyang In Transit,33.51,115.81
Shangqiu-Fuyang In Transit,33.465,115.81
Shangqiu-Fuyang In Transit,33.42,115.81
Shangqiu-Fuyang In Transit,33.375,115.81
Shangqiu-Fuyang In Transit,33.33,115.81
Shangqiu-Fuyang In Transit,33.285,115.81
Shangqiu-Fuyang In Transit,33.24,115.81
Shangqiu-Fuyang In Transit,33.195,115.81
Shangqiu-Fuyang In Transit,33.15,115.81
Shangqiu-Fuyang In Transit,33.105,115.81
Shangqiu-Fuyang In Transit,33.06,115.81
Shangqiu-Fuyang In Transit,33.015,115.81
Shangqiu-Fuyang In Transit,32.97,115.81
Shangqiu-Fuyang In Transit,32.925,115.81
Fuyang,32.89,115.81
Fuyang-Hefei In Transit,32.845,115.855
Fuyang-Hefei In Transit,32.8,115.9
Fuyang-Hefei In Transit,32.755,115.945
Fuyang-Hefei In Transit,32.71,115.99
Fuyang-Hefei In Transit,32.665,116.035
Fuyang-Hefei In Transit,32.62,116.08
Fuyang-Hefei In Transit,32.575,116.125
Fuyang-Hefei In Transit,32.53,116.17
Fuyang-Hefei In Transit,32.485,116.215
Fuyang-Hefei In Transit,32.44,116.26
Fuyang-Hefei In Transit,32.395,116.305
Fuyang-Hefei In Transit,32.35,116.35
Fuyang-Hefei In Transit,32.305,116.395
Fuyang-Hefei In Transit,32.26,116.44
Fuyang-Hefei In Transit,32.215,116.485
Fuyang-Hefei In Transit,32.17,116.53
Fuyang-Hefei In Transit,32.125,116.575
Fuyang-Hefei In Transit,32.08,116.62
Fuyang-Hefei In Transit,32.035,116.665
Fuyang-Hefei In Transit,31.99,116.71
Fuyang-Hefei In Transit,31.945,116.755
Fuyang-Hefei In Transit,31.9,116.8
Fuyang-Hefei In Transit,31.855,116.845
Fuyang-Hefei In Transit,31.82,116.89
Fuyang-Hefei In Transit,31.82,116.935
Fuyang-Hefei In Transit,31.82,116.98
Fuyang-Hefei In Transit,31.82,117.025
Fuyang-Hefei In Transit,31.82,117.07
Fuyang-Hefei In Transit,31.82,117.115
Fuyang-Hefei In Transit,31.82,117.16
Fuyang-Hefei In Transit,31.82,117.205
Hefei,31.82,117.22
Hefei-Huanggang In Transit,31.775,117.175
Hefei-Huanggang In Transit,31.73,117.13
Hefei-Huanggang In Transit,31.685,117.085
Hefei-Huanggang In Transit,31.64,117.04
Hefei-Huanggang In Transit,31.595,116.995
Hefei-Huanggang In Transit,31.55,116.95
Hefei-Huanggang In Transit,31.505,116.905
Hefei-Huanggang In Transit,31.46,116.86
Hefei-Huanggang In Transit,31.415,116.815
Hefei-Huanggang In Transit,31.37,116.77
Hefei-Huanggang In Transit,31.325,116.725
Hefei-Huanggang In Transit,31.28,116.68
Hefei-Huanggang In Transit,31.235,116.635
Hefei-Huanggang In Transit,31.19,116.59
Hefei-Huanggang In Transit,31.145,116.545
Hefei-Huanggang In Transit,31.1,116.5
Hefei-Huanggang In Transit,31.055,116.455
Hefei-Huanggang In Transit,31.01,116.41
Hefei-Huanggang In Transit,30.965,116.365
Hefei-Huanggang In Transit,30.92,116.32
Hefei-Huanggang In Transit,30.875,116.275
Hefei-Huanggang In Transit,30.83,116.23
Hefei-Huanggang In Transit,30.785,116.185
Hefei-Huanggang In Transit,30.74,116.14
Hefei-Huanggang In Transit,30.695,116.095
Hefei-Huanggang In Transit,30.65,116.05
Hefei-Huanggang In Transit,30.605,116.005
Hefei-Huanggang In Transit,30.56,115.96
Hefei-Huanggang In Transit,30.515,115.915
Hefei-Huanggang In Transit,30.47,115.87
Hefei-Huanggang In Transit,30.45,115.825
Hefei-Huanggang In Transit,30.45,115.78
Hefei-Huanggang In Transit,30.45,115.735
Hefei-Huanggang In Transit,30.45,115.69
Hefei-Huanggang In Transit,30.45,115.645
Hefei-Huanggang In Transit,30.45,115.6
Hefei-Huanggang In Transit,30.45,115.555
Hefei-Huanggang In Transit,30.45,115.51
Hefei-Huanggang In Transit,30.45,115.465
Hefei-Huanggang In Transit,30.45,115.42
Hefei-Huanggang In Transit,30.45,115.375
Hefei-Huanggang In Transit,30.45,115.33
Hefei-Huanggang In Transit,30.45,115.285
Hefei-Huanggang In Transit,30.45,115.24
Hefei-Huanggang In Transit,30.45,115.195
Hefei-Huanggang In Transit,30.45,115.15
Hefei-Huanggang In Transit,30.45,115.105
Hefei-Huanggang In Transit,30.45,115.06
Hefei-Huanggang In Transit,30.45,115.015
Hefei-Huanggang In Transit,30.45,114.97
Hefei-Huanggang In Transit,30.45,114.925
Hefei-Huanggang In Transit,30.45,114.88
Huanggang,30.45,114.87
Huanggang-Jiujiang In Transit,30.405,114.915
Huanggang-Jiujiang In Transit,30.36,114.96
Huanggang-Jiujiang In Transit,30.315,115.005
Huanggang-Jiujiang In Transit,30.27,115.05
Huanggang-Jiujiang In Transit,30.225,115.095
Huanggang-Jiujiang In Transit,30.18,115.14
Huanggang-Jiujiang In Transit,30.135,115.185
Huanggang-Jiujiang In Transit,30.09,115.23
Huanggang-Jiujiang In Transit,30.045,115.275
Huanggang-Jiujiang In Transit,30,115.32
Huanggang-Jiujiang In Transit,29.955,115.365
Huanggang-Jiujiang In Transit,29.91,115.41
Huanggang-Jiujiang In Transit,29.865,115.455
Huanggang-Jiujiang In Transit,29.82,115.5
Huanggang-Jiujiang In Transit,29.775,115.545
Huanggang-Jiujiang In Transit,29.73,115.59
Huanggang-Jiujiang In Transit,29.7,115.635
Huanggang-Jiujiang In Transit,29.7,115.68
Huanggang-Jiujiang In Transit,29.7,115.725
Huanggang-Jiujiang In Transit,29.7,115.77
Huanggang-Jiujiang In Transit,29.7,115.815
Huanggang-Jiujiang In Transit,29.7,115.86
Huanggang-Jiujiang In Transit,29.7,115.905
Huanggang-Jiujiang In Transit,29.7,115.95
Huanggang-Jiujiang In Transit,29.7,115.995
Jiujiang,29.7,116
Jiujiang-Nanchang In Transit,29.655,115.955
Jiujiang-Nanchang In Transit,29.61,115.91
Jiujiang-Nanchang In Transit,29.565,115.865
Jiujiang-Nanchang In Transit,29.52,115.85
Jiujiang-Nanchang In Transit,29.475,115.85
Jiujiang-Nanchang In Transit,29.43,115.85
Jiujiang-Nanchang In Transit,29.385,115.85
Jiujiang-Nanchang In Transit,29.34,115.85
Jiujiang-Nanchang In Transit,29.295,115.85
Jiujiang-Nanchang In Transit,29.25,115.85
Jiujiang-Nanchang In Transit,29.205,115.85
Jiujiang-Nanchang In Transit,29.16,115.85
Jiujiang-Nanchang In Transit,29.115,115.85
Jiujiang-Nanchang In Transit,29.07,115.85
Jiujiang-Nanchang In Transit,29.025,115.85
Jiujiang-Nanchang In Transit,28.98,115.85
Jiujiang-Nanchang In Transit,28.935,115.85
Jiujiang-Nanchang In Transit,28.89,115.85
Jiujiang-Nanchang In Transit,28.845,115.85
Jiujiang-Nanchang In Transit,28.8,115.85
Jiujiang-Nanchang In Transit,28.755,115.85
Jiujiang-Nanchang In Transit,28.71,115.85
Nanchang,28.68,115.85
Nanchang-Ganzhou In Transit,28.635,115.805
Nanchang-Ganzhou In Transit,28.59,115.76
Nanchang-Ganzhou In Transit,28.545,115.715
Nanchang-Ganzhou In Transit,28.5,115.67
Nanchang-Ganzhou In Transit,28.455,115.625
Nanchang-Ganzhou In Transit,28.41,115.58
Nanchang-Ganzhou In Transit,28.365,115.535
Nanchang-Ganzhou In Transit,28.32,115.49
Nanchang-Ganzhou In Transit,28.275,115.445
Nanchang-Ganzhou In Transit,28.23,115.4
Nanchang-Ganzhou In Transit,28.185,115.355
Nanchang-Ganzhou In Transit,28.14,115.31
Nanchang-Ganzhou In Transit,28.095,115.265
Nanchang-Ganzhou In Transit,28.05,115.22
Nanchang-Ganzhou In Transit,28.005,115.175
Nanchang-Ganzhou In Transit,27.96,115.13
Nanchang-Ganzhou In Transit,27.915,115.085
Nanchang-Ganzhou In Transit,27.87,115.04
Nanchang-Ganzhou In Transit,27.825,114.995
Nanchang-Ganzhou In Transit,27.78,114.95
Nanchang-Ganzhou In Transit,27.735,114.93
Nanchang-Ganzhou In Transit,27.69,114.93
Nanchang-Ganzhou In Transit,27.645,114.93
Nanchang-Ganzhou In Transit,27.6,114.93
Nanchang-Ganzhou In Transit,27.555,114.93
Nanchang-Ganzhou In Transit,27.51,114.93
Nanchang-Ganzhou In Transit,27.465,114.93
Nanchang-Ganzhou In Transit,27.42,114.93
Nanchang-Ganzhou In Transit,27.375,114.93
Nanchang-Ganzhou In Transit,27.33,114.93
Nanchang-Ganzhou In Transit,27.285,114.93
Nanchang-Ganzhou In Transit,27.24,114.93
Nanchang-Ganzhou In Transit,27.195,114.93
Nanchang-Ganzhou In Transit,27.15,114.93
Nanchang-Ganzhou In Transit,27.105,114.93
Nanchang-Ganzhou In Transit,27.06,114.93
Nanchang-Ganzhou In Transit,27.015,114.93
Nanchang-Ganzhou In Transit,26.97,114.93
Nanchang-Ganzhou In Transit,26.925,114.93
Nanchang-Ganzhou In Transit,26.88,114.93
Nanchang-Ganzhou In Transit,26.835,114.93
Nanchang-Ganzhou In Transit,26.79,114.93
