Station,Lat,Lon
Dandong,40.13,124.39
Dandong-Dalian In Transit,40.09,124.34
Dandong-Dalian In Transit,40.04,124.3
Dandong-Dalian In Transit,39.99,124.25
Dandong-Dalian In Transit,39.95,124.21
Dandong-Dalian In Transit,39.9,124.16
Dandong-Dalian In Transit,39.86,124.12
Dandong-Dalian In Transit,39.81,124.07
Dandong-Dalian In Transit,39.77,124.03
Dandong-Dalian In Transit,39.72,123.98
Dandong-Dalian In Transit,39.68,123.94
Dandong-Dalian In Transit,39.63,123.89
Dandong-Dalian In Transit,39.59,123.85
Dandong-Dalian In Transit,39.54,123.8
Dandong-Dalian In Transit,39.5,123.76
Dandong-Dalian In Transit,39.45,123.71
Dandong-Dalian In Transit,39.41,123.67
Dandong-Dalian In Transit,39.36,123.62
Dandong-Dalian In Transit,39.32,123.58
Dandong-Dalian In Transit,39.27,123.53
Dandong-Dalian In Transit,39.23,123.49
Dandong-Dalian In Transit,39.18,123.44
Dandong-Dalian In Transit,39.14,123.4
Dandong-Dalian In Transit,39.09,123.35
Dandong-Dalian In Transit,39.05,123.31
Dandong-Dalian In Transit,39,123.26
Dandong-Dalian In Transit,38.96,123.22
Dandong-Dalian In Transit,38.91,123.17
Dandong-Dalian In Transit,38.91,123.13
Dandong-Dalian In Transit,38.91,123.08
Dandong-Dalian In Transit,38.91,123.04
Dandong-Dalian In Transit,38.91,122.99
Dandong-Dalian In Transit,38.91,122.95
Dandong-Dalian In Transit,38.91,122.9
Dandong-Dalian In Transit,38.91,122.86
Dandong-Dalian In Transit,38.91,122.81
Dandong-Dalian In Transit,38.91,122.77
Dandong-Dalian In Transit,38.91,122.72
Dandong-Dalian In Transit,38.91,122.68
Dandong-Dalian In Transit,38.91,122.63
Dandong-Dalian In Transit,38.91,122.59
Dandong-Dalian In Transit,38.91,122.54
Dandong-Dalian In Transit,38.91,122.5
Dandong-Dalian In Transit,38.91,122.45
Dandong-Dalian In Transit,38.91,122.41
Dandong-Dalian In Transit,38.91,122.36
Dandong-Dalian In Transit,38.91,122.32
Dandong-Dalian In Transit,38.91,122.27
Dandong-Dalian In Transit,38.91,122.23
Dandong-Dalian In Transit,38.91,122.18
Dandong-Dalian In Transit,38.91,122.14
Dandong-Dalian In Transit,38.91,122.09
Dandong-Dalian In Transit,38.91,122.05
Dandong-Dalian In Transit,38.91,122
Dandong-Dalian In Transit,38.91,121.96
Dandong-Dalian In Transit,38.91,121.91
Dandong-Dalian In Transit,38.91,121.87
Dandong-Dalian In Transit,38.91,121.82
Dandong-Dalian In Transit,38.91,121.78
Dandong-Dalian In Transit,38.91,121.73
Dandong-Dalian In Transit,38.91,121.69
Dandong-Dalian In Transit,38.91,121.64
Dalian,38.91,121.61
Dalian-Qinhuangdao In Transit,38.95,121.56
Dalian-Qinhuangdao In Transit,39,121.52
Dalian-Qinhuangdao In Transit,39.05,121.47
Dalian-Qinhuangdao In Transit,39.09,121.43
Dalian-Qinhuangdao In Transit,39.14,121.38
Dalian-Qinhuangdao In Transit,39.18,121.34
Dalian-Qinhuangdao In Transit,39.23,121.29
Dalian-Qinhuangdao In Transit,39.27,121.25
Dalian-Qinhuangdao In Transit,39.32,121.2
Dalian-Qinhuangdao In Transit,39.36,121.16
Dalian-Qinhuangdao In Transit,39.41,121.11
Dalian-Qinhuangdao In Transit,39.45,121.07
Dalian-Qinhuangdao In Transit,39.5,121.02
Dalian-Qinhuangdao In Transit,39.54,120.98
Dalian-Qinhuangdao In Transit,39.59,120.93
Dalian-Qinhuangdao In Transit,39.63,120.89
Dalian-Qinhuangdao In Transit,39.68,120.84
Dalian-Qinhuangdao In Transit,39.72,120.8
Dalian-Qinhuangdao In Transit,39.77,120.75
Dalian-Qinhuangdao In Transit,39.81,120.71
Dalian-Qinhuangdao In Transit,39.86,120.66
Dalian-Qinhuangdao In Transit,39.9,120.62
Dalian-Qinhuangdao In Transit,39.93,120.57
Dalian-Qinhuangdao In Transit,39.93,120.53
Dalian-Qinhuangdao In Transit,39.93,120.48
Dalian-Qinhuangdao In Transit,39.93,120.44
Dalian-Qinhuangdao In Transit,39.93,120.39
Dalian-Qinhuangdao In Transit,39.93,120.35
Dalian-Qinhuangdao In Transit,39.93,120.3
Dalian-Qinhuangdao In Transit,39.93,120.26
Dalian-Qinhuangdao In Transit,39.93,120.21
Dalian-Qinhuangdao In Transit,39.93,120.17
Dalian-Qinhuangdao In Transit,39.93,120.12
Dalian-Qinhuangdao In Transit,39.93,120.08
Dalian-Qinhuangdao In Transit,39.93,120.03
Dalian-Qinhuangdao In Transit,39.93,119.99
Dalian-Qinhuangdao In Transit,39.93,119.94
Dalian-Qinhuangdao In Transit,39.93,119.9
Dalian-Qinhuangdao In Transit,39.93,119.85
Dalian-Qinhuangdao In Transit,39.93,119.81
Dalian-Qinhuangdao In Transit,39.93,119.76
Dalian-Qinhuangdao In Transit,39.93,119.72
Dalian-Qinhuangdao In Transit,39.93,119.67
Dalian-Qinhuangdao In Transit,39.93,119.63
Qinhuangdao,39.93,119.6
Qinhuangdao-Tianjin In Transit,39.88,119.55
Qinhuangdao-Tianjin In Transit,39.84,119.51
Qinhuangdao-Tianjin In Transit,39.79,119.46
Qinhuangdao-Tianjin In Transit,39.75,119.42
Qinhuangdao-Tianjin In Transit,39.7,119.37
Qinhuangdao-Tianjin In Transit,39.66,119.33
Qinhuangdao-Tianjin In Transit,39.61,119.28
Qinhuangdao-Tianjin In Transit,39.57,119.24
Qinhuangdao-Tianjin In Transit,39.52,119.19
Qinhuangdao-Tianjin In Transit,39.48,119.15
Qinhuangdao-Tianjin In Transit,39.43,119.1
Qinhuangdao-Tianjin In Transit,39.39,119.06
Qinhuangdao-Tianjin In Transit,39.34,119.01
Qinhuangdao-Tianjin In Transit,39.3,118.97
Qinhuangdao-Tianjin In Transit,39.25,118.92
Qinhuangdao-Tianjin In Transit,39.21,118.88
Qinhuangdao-Tianjin In Transit,39.16,118.83
Qinhuangdao-Tianjin In Transit,39.12,118.79
Qinhuangdao-Tianjin In Transit,39.08,118.74
Qinhuangdao-Tianjin In Transit,39.08,118.7
Qinhuangdao-Tianjin In Transit,39.08,118.65
Qinhuangdao-Tianjin In Transit,39.08,118.61
Qinhuangdao-Tianjin In Transit,39.08,118.56
Qinhuangdao-Tianjin In Transit,39.08,118.52
Qinhuangdao-Tianjin In Transit,39.08,118.47
Qinhuangdao-Tianjin In Transit,39.08,118.43
Qinhuangdao-Tianjin In Transit,39.08,118.38
Qinhuangdao-Tianjin In Transit,39.08,118.34
Qinhuangdao-Tianjin In Transit,39.08,118.29
Qinhuangdao-Tianjin In Transit,39.08,118.25
Qinhuangdao-Tianjin In Transit,39.08,118.2
Qinhuangdao-Tianjin In Transit,39.08,118.16
Qinhuangdao-Tianjin In Transit,39.08,118.11
Qinhuangdao-Tianjin In Transit,39.08,118.07
Qinhuangdao-Tianjin In Transit,39.08,118.02
Qinhuangdao-Tianjin In Transit,39.08,117.98
Qinhuangdao-Tianjin In Transit,39.08,117.93
Qinhuangdao-Tianjin In Transit,39.08,117.89
Qinhuangdao-Tianjin In Transit,39.08,117.84
Qinhuangdao-Tianjin In Transit,39.08,117.8
Qinhuangdao-Tianjin In Transit,39.08,117.75
Qinhuangdao-Tianjin In Transit,39.08,117.71
Qinhuangdao-Tianjin In Transit,39.08,117.66
Qinhuangdao-Tianjin In Transit,39.08,117.62
Qinhuangdao-Tianjin In Transit,39.08,117.57
Qinhuangdao-Tianjin In Transit,39.08,117.53
Qinhuangdao-Tianjin In Transit,39.08,117.48
Qinhuangdao-Tianjin In Transit,39.08,117.44
Qinhuangdao-Tianjin In Transit,39.08,117.39
Qinhuangdao-Tianjin In Transit,39.08,117.35
Qinhuangdao-Tianjin In Transit,39.08,117.3
Qinhuangdao-Tianjin In Transit,39.08,117.26
Qinhuangdao-Tianjin In Transit,39.08,117.21
Tianjin,39.08,117.2
Tianjin-Dongying In Transit,39.03,117.25
Tianjin-Dongying In Transit,38.99,117.29
Tianjin-Dongying In Transit,38.94,117.34
Tianjin-Dongying In Transit,38.9,117.38
Tianjin-Dongying In Transit,38.85,117.43
Tianjin-Dongying In Transit,38.81,117.47
Tianjin-Dongying In Transit,38.76,117.52
Tianjin-Dongying In Transit,38.72,117.56
Tianjin-Dongying In Transit,38.67,117.61
Tianjin-Dongying In Transit,38.63,117.65
Tianjin-Dongying In Transit,38.58,117.7
Tianjin-Dongying In Transit,38.54,117.74
Tianjin-Dongying In Transit,38.49,117.79
Tianjin-Dongying In Transit,38.45,117.83
Tianjin-Dongying In Transit,38.4,117.88
Tianjin-Dongying In Transit,38.36,117.92
Tianjin-Dongying In Transit,38.31,117.97
Tianjin-Dongying In Transit,38.27,118.01
Tianjin-Dongying In Transit,38.22,118.06
Tianjin-Dongying In Transit,38.18,118.1
Tianjin-Dongying In Transit,38.13,118.15
Tianjin-Dongying In Transit,38.09,118.19
Tianjin-Dongying In Transit,38.04,118.24
Tianjin-Dongying In Transit,38,118.28
Tianjin-Dongying In Transit,37.95,118.33
Tianjin-Dongying In Transit,37.91,118.37
Tianjin-Dongying In Transit,37.86,118.42
Tianjin-Dongying In Transit,37.82,118.46
Tianjin-Dongying In Transit,37.77,118.51
Tianjin-Dongying In Transit,37.73,118.55
Tianjin-Dongying In Transit,37.68,118.6
Tianjin-Dongying In Transit,37.64,118.64
Tianjin-Dongying In Transit,37.59,118.67
Tianjin-Dongying In Transit,37.55,118.67
Tianjin-Dongying In Transit,37.5,118.67
Tianjin-Dongying In Transit,37.46,118.67
Dongying,37.43,118.67
Dongying-Weifang In Transit,37.38,118.72
Dongying-Weifang In Transit,37.34,118.76
Dongying-Weifang In Transit,37.29,118.81
Dongying-Weifang In Transit,37.25,118.85
Dongying-Weifang In Transit,37.2,118.9
Dongying-Weifang In Transit,37.16,118.94
Dongying-Weifang In Transit,37.11,118.99
Dongying-Weifang In Transit,37.07,119.03
Dongying-Weifang In Transit,37.02,119.08
Dongying-Weifang In Transit,36.98,119.12
Dongying-Weifang In Transit,36.93,119.16
Dongying-Weifang In Transit,36.89,119.16
Dongying-Weifang In Transit,36.84,119.16
Dongying-Weifang In Transit,36.8,119.16
Dongying-Weifang In Transit,36.75,119.16
Weifang,36.71,119.16
Weifang-Yantai In Transit,36.76,119.2
Weifang-Yantai In Transit,36.8,119.25
Weifang-Yantai In Transit,36.85,119.3
Weifang-Yantai In Transit,36.89,119.34
Weifang-Yantai In Transit,36.94,119.39
Weifang-Yantai In Transit,36.98,119.43
Weifang-Yantai In Transit,37.03,119.48
Weifang-Yantai In Transit,37.07,119.52
Weifang-Yantai In Transit,37.12,119.57
Weifang-Yantai In Transit,37.16,119.61
Weifang-Yantai In Transit,37.21,119.66
Weifang-Yantai In Transit,37.25,119.7
Weifang-Yantai In Transit,37.3,119.75
Weifang-Yantai In Transit,37.34,119.79
Weifang-Yantai In Transit,37.39,119.84
Weifang-Yantai In Transit,37.43,119.88
Weifang-Yantai In Transit,37.46,119.93
Weifang-Yantai In Transit,37.46,119.97
Weifang-Yantai In Transit,37.46,120.02
Weifang-Yantai In Transit,37.46,120.06
Weifang-Yantai In Transit,37.46,120.11
Weifang-Yantai In Transit,37.46,120.15
Weifang-Yantai In Transit,37.46,120.2
Weifang-Yantai In Transit,37.46,120.24
