idx,P,S,h_km,mu_deg,eta_deg,Delta_deg,ele_deg
0,4,10,1350,50.798722,230.032002,0,15.002676
1,16,16,1349.996484,49.929849,323.497592,7.233717,15
2,16,17,1349.994153,50.143939,359.67405,10.40532,15.000027
3,4,14,1349.98599,46.144216,0.069744,4.089064,15.000004
4,15,12,1349.996485,49.914832,323.497592,7.721275,15.000009
5,4,15,1349.996053,47.812523,58.553456,0.000753,15.008394
6,16,18,1349.996672,50.143939,359.265469,10.570743,15.000096
7,6,4,1350,44.149313,280.079384,0.0025,15.020305
8,4,17,1349.996083,48.480208,49.713817,0.538439,15.002455
9,5,10,1349.99985,50.798722,230.032002,2.247023,15.002209
10,16,14,1349.999968,51.236814,307.56577,6.789705,15.000038
11,15,6,1350,51.280547,341.577734,2.012762,15.000059
12,15,19,1349.99987,49.779192,359.974861,11.781253,15.000144
13,4,8,1350,50.350532,63.149417,0,15.007959
14,16,5,1349.999932,49.784328,359.99992,10.547601,15.000163
15,13,20,1349.997133,49.204579,357.726341,13.823089,15.000647
16,15,20,1349.984799,50.508942,349.835205,11.172253,15.000207
17,4,7,1350,54.332458,168.304364,1.653505,15.019105
18,7,20,1350,49.331062,357.561335,0.11791,15.001122
19,14,20,1349.999808,50.21962,353.296641,12.857051,15.001498
20,16,11,1349.996529,48.484642,317.903394,11.099459,15.000001
21,11,20,1349.993151,50.050794,357.238617,16.352255,15
22,6,19,1349.999999,49.311411,357.561335,3.207499,15.001522
23,9,19,1349.999245,50.07612,352.879303,19.562795,15
24,16,9,1349.999757,48.670831,359.997382,0.825601,15.000024
25,7,18,1349.99995,49.319179,357.609495,3.103845,15.000349
26,4,19,1349.999999,49.296722,357.592546,4.604884,15.002374
27,4,16,1349.999543,47.674498,356.680207,8.392151,15.00021
28,6,16,1349.999789,49.311411,356.722021,3.621153,15.000216
29,5,4,1350,44.082178,131.164066,0,15.000001
30,13,19,1349.999846,50.615272,351.037869,13.786735,15.000029
31,16,13,1349.999732,49.027972,359.77226,10.549845,15
32,15,11,1349.996536,48.919485,323.497592,11.79618,15.000002
33,6,20,1349.999999,49.311411,357.561335,3.207499,15.001522
34,12,19,1349.997133,49.204579,357.726341,14.975014,15.000647
35,12,20,1349.997159,49.215034,357.714927,14.983627,15
36,16,20,1349.997828,49.649229,357.897823,11.24786,15.000031
37,10,19,1349.999846,50.772686,342.745976,17.10816,15.000666
38,4,4,1349.999944,43.971188,188.09418,0.772791,15.008307
39,8,19,1349.997008,50.338012,359.942229,21.751823,15.001131
40,8,20,1349.982742,50.411448,357.133193,22.459643,15.001187
41,6,17,1349.999794,50.797742,238.132378,0.150651,15.029906
42,16,19,1349.997374,50.08026,359.987974,10.490589,15.000863
43,15,13,1349.967269,50.726055,160.210866,3.963817,15.000073
44,6,14,1349.999959,50.783686,238.844244,0,15.031974
45,7,19,1350,49.311411,357.609495,3.103845,15.001077
46,6,18,1349.999752,49.311411,356.722021,3.657781,15.000209
47,14,19,1349.999927,50.21962,350.218525,12.857051,15.001476
48,10,20,1349.993196,50.050794,345.284482,17.763734,15.000305
49,4,11,1350,49.648085,63.149417,1.372746,15.007458
